release,precision,recall,far,ce,d2h,mcc,ifa,recall_20,ER,RI,ratio
ww-2.0.5,0.061138014527845036,0.4891041162227603,0.1365216753465855,0.010640086061991528,0.3739336651733602,0.13343418931323822,77,0.4891041162227603,0.708004959910434,2.4247157064491986,0.718
zookeeper-3.5.1,0.027341869644748242,0.21762452107279692,0.1579457515828969,0.01860321046590019,0.5643838456536724,0.02283664657486454,94,0.21762452107279692,0.26874526614258865,0.36751251472238916,0.713
zookeeper-3.5.2,0.06197527095099985,0.7388535031847133,0.18790325046631806,0.005374229912177219,0.22749189472891596,0.17659093369837423,1,0.7388535031847133,0.7333602088512919,2.750377975064827,0.817
zookeeper-3.5.3,0.00911854103343465,0.4462809917355372,0.17310500464622328,0.0023845537859240144,0.4102255981450628,0.04289013421971969,1067,0.4462809917355372,0.6099393975024129,1.56370418749529,0.8
zookeeper-3.5.1,0.027341869644748242,0.21762452107279692,0.1579457515828969,0.01860321046590019,0.5643838456536724,0.02283664657486454,94,0.21762452107279692,0.26874526614258865,0.36751251472238916,0.713
zookeeper-3.5.2,0.06197527095099985,0.7388535031847133,0.18790325046631806,0.005374229912177219,0.22749189472891596,0.17659093369837423,1,0.7388535031847133,0.7333602088512919,2.750377975064827,0.817
zookeeper-3.5.3,0.00911854103343465,0.4462809917355372,0.17310500464622328,0.0023845537859240144,0.4102255981450628,0.04289013421971969,1067,0.4462809917355372,0.6099393975024129,1.56370418749529,0.8
zookeeper-3.5.1,0.027341869644748242,0.21762452107279692,0.1579457515828969,0.01860321046590019,0.5643838456536724,0.02283664657486454,94,0.21762452107279692,0.26874526614258865,0.36751251472238916,0.713
zookeeper-3.5.2,0.06197527095099985,0.7388535031847133,0.18790325046631806,0.005374229912177219,0.22749189472891596,0.17659093369837423,1,0.7388535031847133,0.7333602088512919,2.750377975064827,0.817
zookeeper-3.5.3,0.00911854103343465,0.4462809917355372,0.17310500464622328,0.0023845537859240144,0.4102255981450628,0.04289013421971969,1067,0.4462809917355372,0.6099393975024129,1.56370418749529,0.8
zookeeper-3.5.1,0.027341869644748242,0.21762452107279692,0.1579457515828969,0.01860321046590019,0.5643838456536724,0.02283664657486454,94,0.21762452107279692,0.26874526614258865,0.36751251472238916,0.713
zookeeper-3.5.2,0.06197527095099985,0.7388535031847133,0.18790325046631806,0.005374229912177219,0.22749189472891596,0.17659093369837423,1,0.7388535031847133,0.7333602088512919,2.750377975064827,0.817
zookeeper-3.5.3,0.00911854103343465,0.4462809917355372,0.17310500464622328,0.0023845537859240144,0.4102255981450628,0.04289013421971969,1067,0.4462809917355372,0.6099393975024129,1.56370418749529,0.8
zookeeper-3.5.1,0.027341869644748242,0.21762452107279692,0.1579457515828969,0.01860321046590019,0.5643838456536724,0.02283664657486454,94,0.21762452107279692,0.26874526614258865,0.36751251472238916,0.713
zookeeper-3.5.2,0.06197527095099985,0.7388535031847133,0.18790325046631806,0.005374229912177219,0.22749189472891596,0.17659093369837423,1,0.7388535031847133,0.7333602088512919,2.750377975064827,0.817
zookeeper-3.5.3,0.00911854103343465,0.4462809917355372,0.17310500464622328,0.0023845537859240144,0.4102255981450628,0.04289013421971969,1067,0.4462809917355372,0.6099393975024129,1.56370418749529,0.8
