,Glance-EA-50-5,Glance-EA-50-10,Glance-EA-50-15,Glance-EA-50-20,Glance-EA-50-25,Glance-EA-50-30,Glance-EA-50-35,Glance-EA-50-40,Glance-EA-50-45,Glance-EA-50-50
ambari-2.1.0,0.0231199142646694,0.0471160324369988,0.0710912054959977,0.0952129943483102,0.1193522374617315,0.1434914805751528,0.1678471565263227,0.1922796312263713,0.2167470144486373,0.2414413030653173
ambari-2.2.0,0.0237874427542952,0.0482760159220342,0.0727135977869774,0.0972977796474588,0.1219265788978867,0.1464055911963515,0.1710152687082309,0.1956568157843577,0.2204481498124476,0.2453637751411025
ambari-2.4.0,0.0227821603073365,0.0462007198537913,0.06940714632054,0.0928886464510835,0.1164633918913878,0.1402805751370706,0.1643215471261795,0.1885863078587147,0.2127205251575845,0.2370552198724404
ambari-2.5.0,0.0239773039260547,0.0485182658469013,0.0730051498789487,0.0975253126117956,0.1221328319342412,0.1467112323934873,0.171456026356731,0.1963526543923725,0.2211203274624158,0.2461521502200554
ambari-2.6.0,0.0243278848900754,0.0491613590074009,0.0739783911986369,0.0988981854279319,0.1238549739909281,0.1486165146816123,0.1734684859657884,0.198406777361934,0.2232793010537219,0.2483943431553289
ambari-2.7.0,0.0242470510623643,0.049014807961198,0.0737784158095419,0.0986789423240491,0.1234570718491073,0.1481791891925533,0.1730008837477543,0.1979574224438737,0.2228060858272584,0.2478891705633165
amq-5.1.0,0.022185095342897,0.0456499970548389,0.0692112858573364,0.092724381114556,0.1161892828264978,0.13982018452773,0.1635367636427894,0.1873229556565835,0.2113929541036804,0.2358217267211789
amq-5.2.0,0.0226115916095039,0.046162640421513,0.069902574808629,0.0935878317924246,0.1173824435828611,0.1411223779699771,0.1649517844716174,0.1888905457798986,0.2128889551645292,0.2372701063724028
amq-5.4.0,0.0228064310481551,0.0465380249716231,0.0703046040458383,0.0940595214031377,0.1178610856281,0.1416393264192309,0.165448665122137,0.1894173806228911,0.2134949388148586,0.237930122992241
amq-5.5.0,0.0230608892915276,0.0468951396100787,0.0707809473304313,0.0947735525259444,0.1187403790205566,0.1426335520840238,0.166570917206178,0.1906408585043934,0.2146776557585935,0.2391195468840916
amq-5.6.0,0.0234796515159973,0.0476686183784919,0.0717459337512601,0.0960432682361363,0.1202223834965962,0.1443325375428134,0.1684394077216856,0.192822122757529,0.2169486961404707,0.2415120238802833
amq-5.7.0,0.0237352515720175,0.0480740529352528,0.0723013287935892,0.0967516556617234,0.1210937371868675,0.1453275733690215,0.1696237326274425,0.1940904603051206,0.2183538179444537,0.2429550322603923
amq-5.8.0,0.0225388626412556,0.0459919483072181,0.0694548292198739,0.0932115675333283,0.1169356550244717,0.1403038485524257,0.163985489974565,0.1879805792908894,0.2120083194295248,0.2365258219028246
amq-5.9.0,0.0225162406155491,0.0459761600324651,0.0694199757155694,0.0931182303928989,0.1168325888040401,0.1403086119547678,0.164022970365909,0.188156025856155,0.2121666929694318,0.2368086264481282
amq-5.10.0,0.0226677498172967,0.0462764606066689,0.069809894518275,0.0936946205261226,0.1174632946807476,0.1411315996650179,0.1650571006483221,0.1892711629963961,0.2133472177352324,0.2380003952036082
amq-5.11.0,0.0229126213592233,0.0465776699029126,0.0702730582524271,0.0942324029126213,0.1181462378640776,0.1419508495145631,0.1659557038834951,0.1902942961165048,0.2144660194174757,0.2392141990291262
amq-5.12.0,0.0230937560365233,0.0468996416287296,0.0706853454116656,0.0947189971370662,0.1186546229317249,0.1425124046049122,0.1666959783420355,0.1909343312757498,0.2151582686314138,0.2398608031783466
amq-5.14.0,0.0232304910037853,0.0472267328507111,0.0711550889845926,0.0953414108280427,0.1194354081017525,0.1434452270912872,0.1677374506470866,0.1920296742028859,0.2161969880466836,0.2408856641666621
amq-5.15.0,0.0235778493370324,0.0478163833690085,0.0719394318648765,0.0962692800416822,0.1204782712620957,0.1446442911202365,0.1689284822246274,0.193312044604274,0.2175640071869603,0.2422832833343628
bookkeeper-4.2.0,0.0247046324385904,0.0493964645494924,0.0741266976434596,0.0989721336866223,0.1237663684190315,0.148573403479129,0.1734828411607337,0.1984434801530919,0.2233657181623849,0.2483135568270547
bookkeeper-4.4.0,0.0245913980293423,0.0495173729026214,0.0748113823042307,0.099603526439935,0.1242451109958679,0.1491376281847533,0.1743312645331816,0.1995918162503973,0.2249527410207939,0.2503471234755842
calcite-1.8.0,0.0238483935033132,0.0476646506456194,0.0716672986817664,0.0954417785547635,0.1193640856883929,0.1433024610025259,0.1677164544595628,0.192310411538239,0.217273936768496,0.2424688437980036
calcite-1.11.0,0.0238058039475175,0.0477096371996703,0.0716563582726011,0.0955050500408966,0.119519166260764,0.143646628864116,0.1678659939405636,0.192459095740933,0.2174044903548354,0.2423223142268091
