,Glance-EA-50-5,Glance-EA-50-10,Glance-EA-50-15,Glance-EA-50-20,Glance-EA-50-25,Glance-EA-50-30,Glance-EA-50-35,Glance-EA-50-40,Glance-EA-50-45,Glance-EA-50-50,Glance-EA-50-55,Glance-EA-50-60,Glance-EA-50-65,Glance-EA-50-70,Glance-EA-50-75,Glance-EA-50-80,Glance-EA-50-85,Glance-EA-50-90,Glance-EA-50-95,Glance-EA-50-100
nutch-1.5,0.172,0.293,0.313,0.354,0.364,0.394,0.414,0.444,0.475,0.515,0.515,0.515,0.525,0.535,0.545,0.545,0.545,0.545,0.545,0.545
nutch-1.6,0.178,0.333,0.4,0.444,0.467,0.5,0.522,0.556,0.589,0.6,0.6,0.6,0.6,0.644,0.656,0.656,0.656,0.656,0.656,0.656
nutch-1.7,0.17,0.33,0.398,0.42,0.443,0.477,0.511,0.523,0.557,0.557,0.568,0.602,0.602,0.614,0.625,0.625,0.625,0.625,0.625,0.625
nutch-1.8,0.203,0.338,0.378,0.405,0.419,0.446,0.5,0.5,0.527,0.541,0.554,0.581,0.581,0.595,0.622,0.622,0.622,0.622,0.622,0.622
nutch-1.9,0.169,0.308,0.354,0.4,0.446,0.477,0.477,0.492,0.523,0.523,0.538,0.569,0.569,0.585,0.6,0.6,0.6,0.6,0.6,0.6
nutch-1.10,0.259,0.365,0.4,0.424,0.447,0.471,0.471,0.494,0.506,0.518,0.518,0.518,0.518,0.518,0.529,0.529,0.529,0.529,0.529,0.529
nutch-1.12,0.273,0.404,0.455,0.465,0.495,0.566,0.586,0.596,0.636,0.646,0.657,0.657,0.657,0.667,0.667,0.677,0.677,0.677,0.677,0.677
nutch-1.13,0.242,0.368,0.442,0.474,0.516,0.558,0.589,0.611,0.632,0.632,0.653,0.674,0.674,0.705,0.705,0.705,0.705,0.705,0.705,0.705
nutch-1.14,0.297,0.405,0.473,0.486,0.5,0.514,0.541,0.568,0.581,0.608,0.608,0.608,0.635,0.649,0.662,0.662,0.662,0.662,0.662,0.662
nutch-1.15,0.278,0.389,0.5,0.537,0.574,0.611,0.63,0.648,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685
