,Glance-EA-50-5,Glance-EA-50-10,Glance-EA-50-15,Glance-EA-50-20,Glance-EA-50-25,Glance-EA-50-30,Glance-EA-50-35,Glance-EA-50-40,Glance-EA-50-45,Glance-EA-50-50,Glance-EA-50-55,Glance-EA-50-60,Glance-EA-50-65,Glance-EA-50-70,Glance-EA-50-75,Glance-EA-50-80,Glance-EA-50-85,Glance-EA-50-90,Glance-EA-50-95,Glance-EA-50-100
groovy-2.5.5,372,743,1114,354,1456,663,561,1220,3340,1722,4379,2736,4824,531,3,5107,5400,5691,5847,5847
hbase-0.94.5,53,9,2,8,19,9,383,9,461,479,563,10,665,9,2,10,10,10,10,10
hbase-0.98.0,1592,2523,2366,2464,2497,2440,2482,2461,2437,2399,2399,2369,2369,126,126,126,126,126,126,126
hbase-0.98.5,5097,11,16454,12,2615,15,5774,11,4724,15,8828,15,45427,12,1,1,1,1,1,1
hbase-0.98.11,9729,23206,25816,36536,90,65396,58902,104225,108881,82,81506,95481,13685,35915,306,306,306,306,306,306
hive-1.2.0,7903,1436,1067,810,928,233,100,885,2948,732,104,786,3303,1814,40,1396,2644,2644,2644,2644
hive-2.0.0,373,318,1062,18,782,342,85723,3440,2925,3382,1105,1062,24,1444,7,1315,31,31,31,31
hive-2.1.0,297,285,629,37,513,283,445,8,829,58,543,9,1135,659,725,12,12,12,12,12
ignite-1.4.0,1,126,1,12,178,1,1,511,16,138,22,75,586,1,3673,869,920,971,998,998
ignite-1.6.0,27,55,89,272,137,163,189,727,2034,391,298,2,21,1,3675,870,921,972,998,998
log4j2-2.1,34,2,2,61,116,2,2,75,2,241,27,2,575,617,153,4,4,4,4,4
log4j2-2.2,51,2,208,283,335,3,140,157,7,290,132,203,594,3,127,3,3,3,3,3
log4j2-2.3,57,110,2,24,359,63,133,23,397,935,491,24,573,68,153,3,3,3,3,3
log4j2-2.4,47,12,12,4,12,12,12,4,12,10,12,4,13,305,153,3,3,3,3,3
log4j2-2.5,5,53,2,83,495,169,70,854,4,258,530,122,442,165,378,154,3,3,3,3
log4j2-2.6,13,451,12,120,75,12,84,2062,12,12,9,147,730,154,355,11,8,8,8,8
log4j2-2.7,2,1,2,1,2,2,2,2,2,1,1,1,1,347,1982,2013,2097,2140,2166,2166
log4j2-2.8,16,74,57,33,229,33,101,34,126,35,1,34,16,165,2661,2505,2561,2602,2628,2628
log4j2-2.9,32,23,19,24,24,24,2,24,21,21,20,20,1,354,3437,223,223,223,223,223
log4j2-2.10,16,3,21,227,323,182,198,118,20,425,153,156,9,23,4090,3903,3903,3903,3903,3903
