,Glance-EA-50-5,Glance-EA-50-10,Glance-EA-50-15,Glance-EA-50-20,Glance-EA-50-25,Glance-EA-50-30,Glance-EA-50-35,Glance-EA-50-40,Glance-EA-50-45,Glance-EA-50-50,Glance-EA-50-55,Glance-EA-50-60,Glance-EA-50-65,Glance-EA-50-70,Glance-EA-50-75,Glance-EA-50-80,Glance-EA-50-85,Glance-EA-50-90,Glance-EA-50-95,Glance-EA-50-100
ambari-2.1.0,0.0231199142646694,0.0471160324369988,0.0710912054959977,0.0952129943483102,0.1193522374617315,0.1434914805751528,0.1678471565263227,0.1922796312263713,0.2167470144486373,0.2414413030653173,0.2651127719810237,0.2880267259646097,0.3071391418787068,0.3198039537392264,0.3250227778107469,0.3261189054083773,0.3261363596694861,0.3261363596694861,0.3261363596694861,0.3261363596694861
ambari-2.2.0,0.0237874427542952,0.0482760159220342,0.0727135977869774,0.0972977796474588,0.1219265788978867,0.1464055911963515,0.1710152687082309,0.1956568157843577,0.2204481498124476,0.2453637751411025,0.2692627613702638,0.2924892997938039,0.3120094078953658,0.3248496553306627,0.3300348334337225,0.3310132290561191,0.3310355377510923,0.3310355377510923,0.3310355377510923,0.3310355377510923
ambari-2.4.0,0.0227821603073365,0.0462007198537913,0.06940714632054,0.0928886464510835,0.1164633918913878,0.1402805751370706,0.1643215471261795,0.1885863078587147,0.2127205251575845,0.2370552198724404,0.2608724031181231,0.2842070418857931,0.3039913654843161,0.3169850993995002,0.3216730073477304,0.3224912349408825,0.3225798179851553,0.3226077915780836,0.3226077915780836,0.3226077915780836
ambari-2.5.0,0.0239773039260547,0.0485182658469013,0.0730051498789487,0.0975253126117956,0.1221328319342412,0.1467112323934873,0.171456026356731,0.1963526543923725,0.2211203274624158,0.2461521502200554,0.2703769644833065,0.2939674035125669,0.3137765501634816,0.3263579789845004,0.3302183082772448,0.3309296405068346,0.3310107573400334,0.3310336364468331,0.3310336364468331,0.3310336364468331
ambari-2.6.0,0.0243278848900754,0.0491613590074009,0.0739783911986369,0.0988981854279319,0.1238549739909281,0.1486165146816123,0.1734684859657884,0.198406777361934,0.2232793010537219,0.2483943431553289,0.2726646813040914,0.2963020052984106,0.3160384823280123,0.3279424368167609,0.3314589537591381,0.3321639013402225,0.3322420004891473,0.3322646081375203,0.3322646081375203,0.3322646081375203
ambari-2.7.0,0.0242470510623643,0.049014807961198,0.0737784158095419,0.0986789423240491,0.1234570718491073,0.1481791891925533,0.1730008837477543,0.1979574224438737,0.2228060858272584,0.2478891705633165,0.2723540467763952,0.2961612984868413,0.3157904563540634,0.3278953111580415,0.331249818479041,0.3319385608603471,0.3320671814255307,0.3321065974051838,0.3321065974051838,0.3321065974051838
amq-5.1.0,0.022185095342897,0.0456499970548389,0.0692112858573364,0.092724381114556,0.1161892828264978,0.13982018452773,0.1635367636427894,0.1873229556565835,0.2113929541036804,0.2358217267211789,0.2586279833143237,0.2795011432579907,0.2964813357108816,0.3058362383331459,0.3084065607479638,0.3091669477956807,0.309172302634045,0.309172302634045,0.309172302634045,0.309172302634045
amq-5.2.0,0.0226115916095039,0.046162640421513,0.069902574808629,0.0935878317924246,0.1173824435828611,0.1411223779699771,0.1649517844716174,0.1888905457798986,0.2128889551645292,0.2372701063724028,0.260239586440004,0.2813102694104781,0.2988815985684461,0.3092553931802366,0.3122079729595387,0.3129138085296749,0.312918779202704,0.312918779202704,0.312918779202704,0.312918779202704
amq-5.4.0,0.0228064310481551,0.0465380249716231,0.0703046040458383,0.0940595214031377,0.1178610856281,0.1416393264192309,0.165448665122137,0.1894173806228911,0.2134949388148586,0.237930122992241,0.2610669693530079,0.2824390092205308,0.3004680235722171,0.3101394741343118,0.3126778411829645,0.3132298291169748,0.3132687015066938,0.3132687015066938,0.3132687015066938,0.3132687015066938
amq-5.5.0,0.0230608892915276,0.0468951396100787,0.0707809473304313,0.0947735525259444,0.1187403790205566,0.1426335520840238,0.166570917206178,0.1906408585043934,0.2146776557585935,0.2391195468840916,0.2621841188471765,0.2836025366241686,0.3014634936768529,0.3110089783532566,0.3134726856250598,0.3139993076577472,0.3140324517017625,0.3140324517017625,0.3140324517017625,0.3140324517017625
