buggy,clean
0.0,0.18181818181818182
0.0,0.16666666666666666
0.16666666666666666,0.14689265536723164
0.0,0.2146118721461187
1.0,0.21804511278195488
0.7142857142857143,0.13529411764705881
0.0,0.1565217391304348
0.1875,0.23008849557522124
0.288135593220339,0.18898809523809523
0.0,0.11612903225806452
0.6666666666666666,0.14859926918392205
1.0,0.15510204081632653
0.2840909090909091,0.10975609756097561
0.3274336283185841,0.19739696312364424
1.0,0.24041811846689895
0.16666666666666666,0.18974358974358974
0.0,0.09271523178807947
1.0,0.16062176165803108
0.16666666666666666,0.2248104008667389
0.4666666666666667,0.16666666666666666
0.6,0.1643835616438356
1.0,0.16103896103896104
0.6666666666666666,0.12612612612612611
0.16666666666666666,0.19047619047619047
0.2692307692307692,0.1895424836601307
0.2222222222222222,0.07903780068728522
0.0,0.12307692307692308
0.0,0.13114754098360656
0.23529411764705882,0.09876543209876543
0.0,0.1417004048582996
0.0,0.11
0.5,0.11494252873563218
0.23214285714285715,0.17358270017533606
0.2,0.14130434782608695
0.0,0.1141732283464567
0.0,0.04150943396226415
0.5,0.11510791366906475
1.0,0.21212121212121213
0.1111111111111111,0.10071942446043165
0.11956521739130435,0.1772875816993464
0.06521739130434782,0.1402439024390244
0.1111111111111111,0.07303370786516854
0.0,0.1314878892733564
0.4666666666666667,0.06465517241379311
0.0,0.03680981595092025
0.5,0.14
0.0,0.14285714285714285
0.5,0.10526315789473684
0.0,0.10526315789473684
0.4,0.13584905660377358
0.0,0.12418300653594772
0.0,0.13333333333333333
0.17647058823529413,0.14699792960662525
0.36363636363636365,0.07913669064748201
0.0,0.08333333333333333
0.0,0.19184652278177458
0.3,0.12941176470588237
0.0,0.2518248175182482
0.0,0.18120805369127516
0.24074074074074073,0.16292134831460675
1.0,0.15675675675675677
0.0,0.12987012987012986
0.0,0.030303030303030304
0.3333333333333333,0.16883116883116883
0.2,0.08527131782945736
0.0,0.104
0.34146341463414637,0.11162790697674418
1.0,0.16289592760180996
0.0,0.0967741935483871
0.38235294117647056,0.19410745233968804
0.24019607843137256,0.15269804822043628
0.0,0.1650485436893204
0.0,0.13333333333333333
0.21428571428571427,0.2304147465437788
1.0,0.13414634146341464
0.20833333333333334,0.15437392795883362
0.1875,0.19858156028368795
0.21052631578947367,0.18243243243243243
0.14285714285714285,0.12403100775193798
0.24528301886792453,0.10232558139534884
0.0,0.08560311284046693
0.0,0.11173184357541899
0.058823529411764705,0.16558441558441558
