buggy,clean,all
5.0,3.7225806451612904,3.730769230769231
2.0,3.1510204081632653,3.1417004048582995
3.4761904761904763,3.078189300411523,3.102415458937198
4.666666666666667,3.405128205128205,3.4782608695652173
2.8333333333333335,3.279220779220779,3.2625
9.0,4.058293587705353,4.060911016949152
4.333333333333333,3.983164983164983,3.986666666666667
4.6,2.7111237230419976,2.7164685908319184
3.5,2.8980716253443526,2.9013698630136986
3.0,2.8654545454545453,2.8664259927797833
2.0,2.803680981595092,2.798780487804878
3.75,3.030075187969925,3.0407407407407407
2.0,3.287581699346405,3.279220779220779
8.0,3.7354709418837677,3.744
6.333333333333333,4.476190476190476,4.5606060606060606
7.0,2.830952380952381,2.8507109004739335
3.0,3.108108108108108,3.10752688172043
5.0,2.253787878787879,2.2641509433962264
3.13,2.32579185520362,2.5763239875389408
6.333333333333333,2.617088607594937,2.72
6.4,2.445736434108527,2.5209125475285172
3.142857142857143,2.8947368421052633,2.9015748031496065
2.0,3.9402985074626864,3.911764705882353
8.857142857142858,3.566666666666667,3.8025477707006368
3.0,3.090909090909091,3.08955223880597
9.0,3.2569169960474307,3.32421875
6.0,2.7149321266968327,2.72972972972973
9.0,4.5227272727272725,4.717391304347826
7.0,4.674418604651163,4.777777777777778
5.0,4.714285714285714,4.733333333333333
12.0,4.525,4.7073170731707314
6.0,4.578947368421052,4.615384615384615
8.0,4.526315789473684,4.615384615384615
4.916666666666667,2.6491228070175437,2.725988700564972
4.857142857142857,4.0638297872340425,4.166666666666667
10.5,4.555555555555555,4.808510638297872
6.0,4.6976744186046515,4.7555555555555555
13.0,4.454545454545454,4.644444444444445
7.0,4.463414634146342,4.523809523809524
4.5,4.534883720930233,4.533333333333333
5.0,2.966996699669967,2.983633387888707
3.47,2.7466666666666666,2.813953488372093
4.0,3.6298076923076925,3.6384976525821595
5.6,2.9882869692532945,3.0259740259740258
10.5,4.246913580246914,4.397590361445783
4.90625,2.972712680577849,3.067175572519084
6.0,3.6486486486486487,3.664429530201342
3.25,2.953846153846154,2.958963282937365
3.909090909090909,3.5948275862068964,3.622047244094488
5.0,3.8823529411764706,3.895348837209302
6.0,3.0570342205323193,3.059270516717325
3.0,3.2900641025641026,3.2896
4.0,3.222972972972973,3.228187919463087
3.2,2.189189189189189,2.196327683615819
5.0,3.5824175824175826,3.642105263157895
6.666666666666667,2.836734693877551,2.853410740203193
7.0,2.8702290076335877,2.9323308270676693
4.066666666666666,2.3986254295532645,2.480392156862745
5.0,2.738255033557047,2.7583148558758315
3.0,2.518181818181818,2.5267857142857144
4.0,2.900990099009901,2.9064039408866993
5.0,3.216,3.2301587301587302
4.636363636363637,3.123456790123457,3.152249134948097
4.666666666666667,3.0280172413793105,3.0437566702241194
3.0,2.5466237942122185,2.549520766773163
6.0,3.051813471502591,3.0670103092783507
2.2,3.1911196911196913,3.1816443594646273
5.0588235294117645,2.840632603406326,2.8855780691299167
4.2,3.547872340425532,3.564766839378238
3.3333333333333335,3.4862385321100917,3.482142857142857
3.0,2.649298597194389,2.65
3.3333333333333335,2.3710407239819005,2.3839285714285716
8.0,3.020289855072464,3.0274963820549927
4.0,4.17741935483871,4.174603174603175
4.5,2.975609756097561,2.9939759036144578
2.5,3.0696517412935322,3.064039408866995
7.6,3.289325842696629,3.3490304709141276
4.8,3.3533123028391167,3.4186746987951806
8.6,3.791044776119403,3.964028776978417
2.3333333333333335,3.4945054945054945,3.4574468085106385
1.6666666666666667,3.0142857142857142,2.986013986013986
14.0,3.8555555555555556,3.967032967032967
6.333333333333333,2.8219178082191783,2.842412451361868
3.8,4.857142857142857,4.74468085106383
5.6,2.45863309352518,2.486631016042781
3.6666666666666665,2.5272407732864677,2.5332167832167833
7.0,3.857142857142857,3.9655172413793105
5.777777777777778,2.469945355191257,2.7661691542288556
4.5,3.963302752293578,3.972972972972973
5.2,3.353398058252427,3.4224299065420563
5.0,4.300884955752212,4.307017543859649
5.0,3.7338709677419355,3.753968253968254
6.0,2.8270833333333334,2.8336798336798337
2.0,2.638755980861244,2.6372315035799523
4.0,2.703030303030303,2.710843373493976
8.0,3.0033444816053514,3.036544850498339
3.5,3.0078740157480315,3.030075187969925
4.076923076923077,2.41897233201581,2.5734767025089607
4.28,2.8244274809160306,2.911483253588517
4.363636363636363,2.4732297063903284,2.5084745762711864
3.5,2.519230769230769,2.5555555555555554
3.5,2.1435643564356437,2.1502463054187193
4.0,3.3055555555555554,3.315068493150685
5.75,2.9766536964980546,3.0191570881226055
4.25,3.193548387096774,3.2311111111111113
4.625,3.0610328638497655,3.089861751152074
4.222222222222222,3.3693181818181817,3.4108108108108106
5.0,3.5503355704697985,3.56
2.0,3.144171779141104,3.140672782874618
