release,precision,recall,f1-score,accuracy,mcc,identified/total files,max identified/total lines
ambari-2.1.0,0.2905788876276958,0.7781155015197568,0.42314049586776853,0.6022792022792023,0.2652597694831218,256/329,5127/5621,
zookeeper-3.5.1,0.7857142857142857,0.44,0.5641025641025641,0.8062678062678063,0.4834256866858826,44/100,550/1305,
ww-2.0.5,0.8152173913043478,0.6637168141592921,0.7317073170731707,0.912,0.6848748275293429,75/113,882/1239,
ww-2.0.10,0.9145299145299145,0.6729559748427673,0.7753623188405796,0.9054878048780488,0.7307907466074772,107/159,1776/3474,
zookeeper-3.5.2,0.89,0.978021978021978,0.9319371727748691,0.9635854341736695,0.9090356425345633,89/91,1052/1099,
zookeeper-3.5.3,0.4065934065934066,0.9736842105263158,0.5736434108527132,0.8501362397820164,0.571160862021633,37/38,228/242,
zookeeper-3.5.1,0.7857142857142857,0.44,0.5641025641025641,0.8062678062678063,0.4834256866858826,44/100,550/1305,
zookeeper-3.5.2,0.89,0.978021978021978,0.9319371727748691,0.9635854341736695,0.9090356425345633,89/91,1052/1099,
zookeeper-3.5.3,0.4065934065934066,0.9736842105263158,0.5736434108527132,0.8501362397820164,0.571160862021633,37/38,228/242,
zookeeper-3.5.1,0.7857142857142857,0.44,0.5641025641025641,0.8062678062678063,0.4834256866858826,44/100,550/1305,
zookeeper-3.5.2,0.89,0.978021978021978,0.9319371727748691,0.9635854341736695,0.9090356425345633,89/91,1052/1099,
zookeeper-3.5.3,0.4065934065934066,0.9736842105263158,0.5736434108527132,0.8501362397820164,0.571160862021633,37/38,228/242,
zookeeper-3.5.1,0.7857142857142857,0.44,0.5641025641025641,0.8062678062678063,0.4834256866858826,44/100,550/1305,
zookeeper-3.5.2,0.89,0.978021978021978,0.9319371727748691,0.9635854341736695,0.9090356425345633,89/91,1052/1099,
zookeeper-3.5.3,0.4065934065934066,0.9736842105263158,0.5736434108527132,0.8501362397820164,0.571160862021633,37/38,228/242,
zookeeper-3.5.1,0.7857142857142857,0.44,0.5641025641025641,0.8062678062678063,0.4834256866858826,44/100,550/1305,
zookeeper-3.5.2,0.89,0.978021978021978,0.9319371727748691,0.9635854341736695,0.9090356425345633,89/91,1052/1099,
zookeeper-3.5.3,0.4065934065934066,0.9736842105263158,0.5736434108527132,0.8501362397820164,0.571160862021633,37/38,228/242,
