ambari,2969,1301,4084,2316,752,133,
amq,2640,2634,1882,1866,863,504,873,3087,2537,1969,1740,1456,574,
bookkeeper,360,230,
calcite,9253,8988,7893,8206,7852,5128,4559,
cassandra,1557,857,882,733,429,
flink,28,
groovy,352,188,340,484,334,251,292,470,247,629,315,332,1268,
hbase,1575,2271,3514,1283,
hive,201,184,1342,
ignite,5937,6006,
log4j2,1086,1116,1109,1103,1411,1101,1283,1133,1042,1037,
mahout,1338,968,854,1316,561,
mng,511,440,404,229,194,
nifi,3551,3457,2149,
nutch,373,382,398,414,390,292,207,429,461,535,440,317,
storm,56,367,104,89,
tika,739,965,977,1101,1065,981,987,1008,1019,688,585,
ww,606,1163,951,787,916,1307,1289,1106,938,760,626,363,331,311,
zookeeper,284,812,108,
