LineDP,Glance-MD,Glance-EA,Glance-LR
ant-ivy,0.05825757575757571,0.2727272727272727,0.2648484848484848,0.07090909090909088
commons-compress,0.03907496012759166,0.2328548644338118,0.1578947368421052,0.04744816586921846
commons-configuration,0.058076923076923054,0.2646153846153846,0.1707692307692307,0.044230769230769185
commons-lang,0.08769982238010657,0.1047957371225577,0.1420959147424511,0.09436056838365893
commons-math,0.02433519369665131,0.247866053841103,0.1930400525279054,0.04222751149047927
commons-net,0.05583900226757366,0.238095238095238,0.1995464852607709,0.07114512471655325
commons-vfs,0.042317708333333315,0.203125,0.1197916666666666,0.03190104166666664
giraph,0.024619222689075588,0.2599789915966387,0.167016806722689,0.040900735294117585
parquet-mr,0.036008230452674865,0.2606310013717421,0.176954732510288,0.0733882030178326
