,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%
recall,0.111,0.208,0.3,0.392,0.482,0.558,0.626,0.687,0.735,0.779
far,0.04,0.081,0.122,0.163,0.205,0.246,0.287,0.329,0.371,0.413
ce,0.013,0.012,0.011,0.01,0.009,0.008,0.007,0.007,0.006,0.005
d2h,0.629,0.563,0.502,0.445,0.394,0.358,0.335,0.323,0.324,0.334
mcc,0.035,0.046,0.055,0.063,0.071,0.075,0.078,0.079,0.078,0.077
ifa,205.967,217.244,455.374,428.228,294.098,500.707,773.122,828.008,884.854,1257.089
recall_20,0.111,0.208,0.3,0.392,0.464,0.463,0.453,0.43,0.415,0.38
ratio,0.41,0.57,0.658,0.72,0.771,0.809,0.841,0.863,0.882,0.899
