,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%
recall,0.111,0.204,0.292,0.388,0.477,0.557,0.622,0.686,0.737,0.786
far,0.039,0.081,0.122,0.163,0.204,0.245,0.287,0.329,0.37,0.413
ce,0.01,0.009,0.009,0.008,0.007,0.006,0.005,0.005,0.004,0.004
d2h,0.629,0.565,0.508,0.449,0.398,0.361,0.333,0.323,0.322,0.331
mcc,0.033,0.044,0.052,0.06,0.066,0.069,0.072,0.073,0.074,0.073
ifa,62.0,81.0,141.0,117.0,127.0,189.0,215.0,236.0,302.0,264.0
recall_20,0.111,0.204,0.292,0.388,0.455,0.464,0.449,0.439,0.427,0.387
ratio,0.405,0.563,0.661,0.72,0.776,0.817,0.846,0.865,0.889,0.906
