,recall,far,ce,d2h,mcc,ifa,recall_20,ratio
ambari,0.587 ,0.191 ,0.007 ,0.341 ,0.094 ,654 ,0.509 ,0.749 
amq,0.768 ,0.142 ,0.003 ,0.202 ,0.171 ,44 ,0.759 ,0.859 
bookkeeper,0.677 ,0.369 ,0.005 ,0.371 ,0.062 ,261 ,0.383 ,0.855 
calcite,0.772 ,0.338 ,0.014 ,0.289 ,0.178 ,27 ,0.450 ,0.933 
cassandra,0.769 ,0.238 ,0.004 ,0.243 ,0.124 ,84 ,0.570 ,0.853 
flink,0.086 ,0.030 ,0.001 ,0.647 ,0.012 ,621 ,0.086 ,0.167 
groovy,0.588 ,0.145 ,0.003 ,0.326 ,0.083 ,374 ,0.572 ,0.716 
hbase,0.703 ,0.254 ,0.004 ,0.286 ,0.094 ,87 ,0.490 ,0.834 
hive,0.298 ,0.065 ,0.002 ,0.499 ,0.045 ,2143 ,0.298 ,0.514 
ignite,0.782 ,0.283 ,0.005 ,0.253 ,0.140 ,64 ,0.601 ,0.883 
log4j2,0.773 ,0.195 ,0.005 ,0.217 ,0.181 ,14 ,0.693 ,0.888 
mahout,0.670 ,0.155 ,0.006 ,0.262 ,0.159 ,118 ,0.641 ,0.795 
mng,0.859 ,0.141 ,0.001 ,0.142 ,0.142 ,245 ,0.859 ,0.912 
nifi,0.650 ,0.212 ,0.005 ,0.290 ,0.111 ,20 ,0.555 ,0.841 
nutch,0.790 ,0.190 ,0.003 ,0.201 ,0.152 ,113 ,0.727 ,0.853 
storm,0.505 ,0.039 ,0.002 ,0.351 ,0.098 ,234 ,0.505 ,0.637 
tika,0.788 ,0.223 ,0.007 ,0.219 ,0.198 ,59 ,0.644 ,0.867 
ww,0.742 ,0.126 ,0.005 ,0.208 ,0.170 ,86 ,0.735 ,0.887 
zookeeper,0.654 ,0.229 ,0.007 ,0.305 ,0.097 ,61 ,0.542 ,0.904 
