PMD,CheckStyle,Glance-MD,Glance-EA,Glance-LR
ambari,0.06415147283333333,0.16814970210545926,0.41037700720617054,0.24438266033626016,0.19101712880511362
amq,0.07702113207692307,0.18574585664753895,0.38381653971202306,0.23909133479797298,0.14208081779084134
bookkeeper,0.0696120645,0.2057106271703582,0.43637428673454504,0.24933034015131944,0.3688322703109479
calcite,0.05422829857142857,0.11043419814870784,0.422555236929355,0.2417353184745949,0.338285035344987
cassandra,0.067307626,0.3063895727095645,0.43709502364578734,0.2500285547360275,0.23796474613591762
flink,0.04757475,0.1194662144362486,0.408691714963119,0.2478661749209694,0.0303625526870389
groovy,0.06624394007692308,0.20624548347446,0.432586443396493,0.24570436502071305,0.14473792231566385
hbase,0.065794879,0.20878924698194723,0.4567124678687292,0.24861779750824387,0.2538802104244504
hive,0.07526377233333334,0.19995099453732984,0.4482302429029933,0.2475590899955223,0.06470045068412357
ignite,0.0515204435,0.1446493254637424,0.4384716119123267,0.2478007100066817,0.2827066916417933
log4j2,0.0439952539,0.1390054544867218,0.406724022551652,0.2438157175948153,0.1954733745896086
mahout,0.0620807266,0.19779021334203545,0.39570933304539646,0.24281017447130943,0.15493938928913728
mng,0.0463215968,0.37368574975798,0.39932213659986526,0.24677785446591713,0.1411505827903891
nifi,0.06616137633333333,0.18546217755468516,0.41824329543692546,0.24595684730846773,0.2119138620747276
nutch,0.08479531541666667,0.1582009142348114,0.4085539442526418,0.24728368241699028,0.18988384672086647
storm,0.0644558375,0.23709663208493093,0.4374386068100535,0.2515248181915153,0.039215337911566145
tika,0.05694412681818182,0.1687771872661372,0.40110548172870525,0.2419029244705449,0.22272280738460948
ww,0.057535691285714285,0.1731751236810229,0.40353476914328223,0.2440069884294004,0.12588871253542203
zookeeper,0.07095587833333333,0.17480224331966596,0.4203447921912143,0.24631261542529972,0.228586553014588
