PMD,CheckStyle,Glance-MD,Glance-EA,Glance-LR
ambari,0.5806666666666667,0.7461666666666666,0.9381666666666667,0.7551666666666667,0.749
amq,0.5406153846153846,0.680076923076923,0.8893076923076924,0.7854615384615384,0.8586923076923076
bookkeeper,0.602,0.6945,0.9675,0.509,0.855
calcite,0.5615714285714286,0.42,0.9148571428571429,0.6138571428571429,0.9325714285714286
cassandra,0.49920000000000003,0.68,0.8962,0.47900000000000004,0.8528
flink,0.487,0.333,0.974,0.795,0.167
groovy,0.49146153846153845,0.7201538461538461,0.9243846153846154,0.6633846153846154,0.7155384615384616
hbase,0.44625000000000004,0.57175,0.8905000000000001,0.29225,0.83375
hive,0.5750000000000001,0.6843333333333333,0.9426666666666667,0.5983333333333333,0.5136666666666667
ignite,0.53,0.6635,0.922,0.7355,0.883
log4j2,0.4728,0.5643,0.8594999999999999,0.5927,0.8878
mahout,0.4516,0.6006,0.849,0.587,0.7954
mng,0.541,0.9096000000000001,0.911,0.7872,0.912
nifi,0.57,0.7063333333333334,0.938,0.7273333333333333,0.8413333333333334
nutch,0.5216666666666667,0.4116666666666667,0.8583333333333334,0.5736666666666667,0.8535
storm,0.50825,0.80125,0.9385,0.359,0.6365000000000001
tika,0.45981818181818185,0.48054545454545455,0.8513636363636363,0.5868181818181818,0.8670909090909091
ww,0.4707142857142857,0.6677142857142857,0.9279285714285714,0.651,0.8873571428571428
zookeeper,0.5276666666666667,0.6263333333333333,0.918,0.7043333333333333,0.904
