PMD,CheckStyle,Glance-MD,Glance-EA,Glance-LR
ambari,0.18967259416666665,0.30665085460159286,0.7515525885489036,0.5601430895834645,0.5870327445109127
amq,0.217508173,0.3306758881425307,0.7931383331079565,0.6882134829836893,0.767513037291558
bookkeeper,0.1555231935,0.2554744720949158,0.7223626161819505,0.3633068488456761,0.676717030025271
calcite,0.12572908114285714,0.15704791038051605,0.7278838149833076,0.38663078235580267,0.7717709780523676
cassandra,0.1907089592,0.3154461506171025,0.8085153937713809,0.33232552032880436,0.7686180901485403
flink,0.128055879,0.0931315483119906,0.79976717112922,0.6507566938300349,0.0861466821885913
groovy,0.18900370823076923,0.37071885477339944,0.8180565783094192,0.5470956507561946,0.5875823234887496
hbase,0.20206987025,0.23374298616136308,0.7982796208054891,0.2777316106120025,0.7033330249580872
hive,0.18385495433333335,0.3152867789572323,0.7803093393314112,0.40307304784229453,0.2979335277484573
ignite,0.18709824,0.25178651839993627,0.8310099113729823,0.6206732275071114,0.7818237838357025
log4j2,0.1706616658,0.24273905703547133,0.7599519879468727,0.5310681270934923,0.7729991721383906
mahout,0.141954245,0.22269219756229913,0.7278662575811021,0.5008447344113938,0.6703808064498313
mng,0.1294153868,0.5849849281033574,0.8626022083433411,0.670059375107885,0.8588672700439337
nifi,0.19504638266666668,0.2930854771819474,0.7023121524840984,0.4596721515835644,0.6501925071149717
nutch,0.25416175933333335,0.1664160427680772,0.716049484949344,0.4201327913770951,0.7895454134923984
storm,0.21836905974999998,0.3252344531542405,0.8065348838341604,0.40276761302936503,0.5053029841960339
tika,0.14527831872727273,0.23382876969505992,0.7786368788024715,0.5291014905673193,0.7877710207761666
ww,0.18413033078571428,0.31744752517111025,0.8304480954864003,0.5590276261531885,0.7415023981775419
zookeeper,0.15246698733333333,0.30867391875518385,0.7244002065757952,0.4646464435175175,0.6537947651439255
