PMD,CheckStyle,Glance-MD,Glance-EA,Glance-LR
0.555,0.718,0.92,0.761,0.863
0.545,0.721,0.952,0.782,0.921
0.598,0.743,0.92,0.766,0.566
0.608,0.754,0.927,0.789,0.905
0.565,0.726,0.952,0.694,0.903
0.613,0.815,0.958,0.739,0.336
0.467,0.624,0.835,0.724,0.899
0.463,0.638,0.844,0.696,0.895
0.494,0.689,0.847,0.735,0.813
0.495,0.67,0.867,0.741,0.926
0.511,0.667,0.867,0.778,0.861
0.557,0.629,0.887,0.763,0.887
0.537,0.653,0.901,0.796,0.302
0.563,0.688,0.894,0.807,0.931
0.577,0.696,0.913,0.822,0.95
0.613,0.692,0.941,0.825,0.936
0.621,0.723,0.925,0.834,0.95
0.582,0.751,0.927,0.85,0.927
0.548,0.721,0.913,0.84,0.886
0.623,0.679,1.0,0.566,1.0
0.581,0.71,0.935,0.452,0.71
0.54,0.464,0.913,0.569,0.904
0.552,0.442,0.925,0.575,0.935
0.554,0.428,0.922,0.641,0.937
0.57,0.4,0.906,0.63,0.938
0.584,0.401,0.905,0.631,0.934
0.563,0.393,0.916,0.63,0.933
0.568,0.412,0.917,0.621,0.947
0.511,0.727,0.87,0.459,0.865
0.468,0.679,0.889,0.405,0.869
0.486,0.656,0.891,0.502,0.83
0.48,0.671,0.882,0.5,0.888
0.551,0.667,0.949,0.529,0.812
0.487,0.333,0.974,0.795,0.167
0.525,0.746,0.915,0.729,0.949
0.362,0.606,0.921,0.622,0.378
0.405,0.613,0.919,0.631,0.523
0.407,0.741,0.87,0.537,0.889
0.458,0.672,0.908,0.618,0.45
0.528,0.722,0.944,0.667,0.944
0.555,0.715,0.978,0.774,0.526
0.554,0.821,0.982,0.786,0.982
0.455,0.716,0.896,0.659,0.408
0.47,0.713,0.909,0.677,0.909
0.473,0.692,0.901,0.626,0.923
0.559,0.786,0.931,0.641,0.469
0.638,0.819,0.943,0.657,0.952
0.444,0.564,0.905,0.502,0.946
0.434,0.564,0.876,0.231,0.623
0.443,0.573,0.881,0.227,0.9
0.464,0.586,0.9,0.209,0.866
0.527,0.645,0.935,0.613,0.505
0.643,0.679,0.946,0.571,0.643
0.555,0.729,0.947,0.611,0.393
0.527,0.655,0.923,0.725,0.874
0.533,0.672,0.921,0.746,0.892
0.416,0.49,0.827,0.588,0.847
0.43,0.5,0.828,0.57,0.943
0.425,0.502,0.837,0.571,0.944
0.428,0.521,0.835,0.551,0.903
0.45,0.564,0.841,0.55,0.886
0.456,0.599,0.889,0.562,0.866
0.516,0.584,0.9,0.62,0.824
0.529,0.575,0.891,0.62,0.896
0.521,0.637,0.879,0.637,0.837
0.557,0.671,0.868,0.658,0.932
0.41,0.513,0.855,0.624,0.778
0.362,0.489,0.798,0.532,0.819
0.477,0.613,0.847,0.577,0.595
0.476,0.638,0.895,0.619,0.952
0.533,0.75,0.85,0.583,0.833
0.425,0.897,0.908,0.724,0.908
0.505,0.901,0.923,0.736,0.879
0.507,0.915,0.944,0.831,0.93
0.643,0.929,0.905,0.833,0.905
0.625,0.906,0.875,0.812,0.938
0.562,0.687,0.94,0.73,0.796
0.566,0.714,0.945,0.728,0.883
0.582,0.718,0.929,0.724,0.845
0.495,0.417,0.806,0.534,0.883
0.505,0.424,0.808,0.525,0.879
0.556,0.434,0.818,0.515,0.889
0.533,0.411,0.822,0.6,0.856
0.523,0.42,0.795,0.557,0.818
0.514,0.405,0.784,0.541,0.851
0.492,0.354,0.846,0.523,0.831
0.506,0.424,0.894,0.518,0.765
0.505,0.394,0.909,0.646,0.818
0.516,0.389,0.905,0.632,0.895
0.541,0.405,0.932,0.608,0.905
0.574,0.463,0.981,0.685,0.852
0.465,0.721,0.814,0.209,0.442
0.497,0.743,0.94,0.415,0.339
0.471,0.941,1.0,0.412,0.765
0.6,0.8,1.0,0.4,1.0
0.435,0.483,0.85,0.449,0.803
0.423,0.464,0.839,0.482,0.839
0.447,0.48,0.804,0.503,0.832
0.463,0.519,0.812,0.5,0.881
0.494,0.462,0.842,0.544,0.842
0.442,0.442,0.87,0.539,0.922
0.436,0.45,0.866,0.57,0.879
0.453,0.465,0.859,0.676,0.841
0.443,0.443,0.866,0.711,0.893
0.5,0.548,0.879,0.742,0.919
0.522,0.53,0.878,0.739,0.887
0.452,0.628,0.926,0.75,0.771
0.517,0.632,0.96,0.753,0.879
0.505,0.609,0.962,0.712,0.929
0.431,0.569,0.95,0.724,0.901
0.464,0.649,0.952,0.714,0.923
0.471,0.683,0.912,0.577,0.855
0.461,0.689,0.9,0.58,0.872
0.47,0.693,0.926,0.609,0.896
0.475,0.702,0.934,0.636,0.909
0.473,0.722,0.899,0.574,0.858
0.448,0.699,0.902,0.622,0.902
0.462,0.667,0.906,0.615,0.846
0.472,0.704,0.926,0.62,0.935
0.489,0.702,0.936,0.628,0.947
0.525,0.637,0.912,0.688,0.812
0.533,0.617,0.917,0.7,0.95
0.525,0.625,0.925,0.725,0.95
