NGram,NGram-C,TMI-LR,TMI-MNB,TMI-SVM,TMI-DT,TMI-RF,LineDP,PMD,CheckStyle,Glance-MD,Glance-EA,Glance-LR
ambari,0.49476777556539575,0.3137271529410374,0.06663998035392557,0.40073431855043967,0.054788349645596805,0.24484210280610413,0.3180635741229085,0.3750935687703012,0.13955179541569535,0.22416782447883715,0.38071299972990147,0.48149480566611047,0.49244346927324
amq,0.5226624320864173,0.3383933410552141,0.050086721046642725,0.5074817105225508,0.023450278478469547,0.24462981615802673,0.4394630037105625,0.5608621070273664,0.19212925777157577,0.29020034716446913,0.46289122911470915,0.616957645559768,0.7588151526801179
bookkeeper,0.2218373143600743,0.2212659179285537,0.1705292383681838,0.2917164135222819,0.11875714245539395,0.05037236639933319,0.1804142688043114,0.32796109902415205,0.1234395252935597,0.17665481264077185,0.30183281477296253,0.2250445484689899,0.3804298639641873
calcite,0.4040441207860803,0.28184406067667317,0.08072055677117787,0.3816765424372061,0.04134910061909937,0.38940200423509796,0.4858329702593718,0.4375372204173402,0.12278941956850872,0.15411604749853808,0.3682336774114321,0.3178087905862998,0.4439177588031704
cassandra,0.3913760962539273,0.20734003385275185,0.06786961742164485,0.4047653007473787,0.04922350848935056,0.24521088156701523,0.35082494156522,0.4958636792738746,0.1700403220259247,0.27102233876329657,0.3913974043762894,0.21798364747361776,0.5629659908235352
flink,0.4388888888888889,0.3066666666666666,0.0022222222222222,0.1155555555555555,0.0,0.0,0.0,0.0344444444444444,0.0166666666666666,0.0455555555555555,0.3566666666666667,0.5955555555555555,0.0855555555555555
groovy,0.4467945409706462,0.3589466564213833,0.06557632901645329,0.44870071106562387,0.055105384456399384,0.1562256560699862,0.3105418728708835,0.4436804537538264,0.13462030876165043,0.27195399395173137,0.3548532438936217,0.40776978384433804,0.5684565271261245
hbase,0.397613013116122,0.25660602519442394,0.030132617326069627,0.3038202300873185,0.016641772912841375,0.15174656804036982,0.3154513933582955,0.43661542669003417,0.16336651942264568,0.21825100352004745,0.3213570602759068,0.21487930927572468,0.4568015689365915
hive,0.4381259348561945,0.2293166813670623,0.012157648777798867,0.25993570590189974,0.004800342873318366,0.0212641416247193,0.07373930744187997,0.20639553305897068,0.059362093390045466,0.10292781905686113,0.34811635149240033,0.2793149612161295,0.2957820982379214
ignite,0.518037825667462,0.377157582676543,0.0549273317401169,0.36011377748537343,0.01954722620707865,0.2557096646596545,0.3850646180631576,0.4151763696862377,0.16710832537269749,0.25791666469995694,0.3887813174316683,0.5388757921150311,0.5998462592757594
log4j2,0.43667416719102636,0.2114243417112568,0.04284489092350968,0.493309755970673,0.03257611937294439,0.34938024787127503,0.5738410276343141,0.6076139824711495,0.14834398370479202,0.2219907595623793,0.33597014269523284,0.43318817817229394,0.6957593392714744
mahout,0.44862504511990015,0.27199311254110525,0.04526585598965814,0.4368281514567633,0.04374042960919884,0.13355198342883756,0.2892069327105535,0.5690943395729421,0.11090125786620245,0.18437704705730074,0.3512133080619624,0.2959233544531471,0.6362205585149857
mng,0.4405412747653684,0.2865672370384739,0.1646340306471935,0.4735624201218748,0.12822597009120318,0.1918058059595144,0.4033259815658884,0.706973083536446,0.12084424363503397,0.5665634226249885,0.5603596623434877,0.6350266416680764,0.8498299162656228
nifi,0.5471725217801862,0.30146496699315156,0.04537563766619557,0.501452147169643,0.014980820198634833,0.32474209906110896,0.3972978203636645,0.5031415933068977,0.1521853969362443,0.2327707710473445,0.37165447742816665,0.3754045775784615,0.5842189837523959
nutch,0.394158672207708,0.2278822072434796,0.22331751031041444,0.5260722923331871,0.19998085251236047,0.15878114587987202,0.4287981571890894,0.6788822613715609,0.24472412832671034,0.15334964377366006,0.3498572475300163,0.3289982673884687,0.725783581207573
storm,0.4347410203221025,0.28011788927957926,0.038084872839575054,0.5492261578079167,0.050253948763743894,0.05532149014281902,0.0522396870135749,0.42730323234296413,0.14896701534235018,0.18930364861428933,0.10956838787495422,0.2786377811575598,0.5267480682529937
tika,0.3858598291717486,0.23712575472432582,0.20692980532231423,0.4710841162117405,0.16424841750743358,0.2117266079077664,0.4731627751535841,0.5811964112216519,0.13564516255055045,0.21495966605388503,0.41428723269585965,0.448717372962698,0.6318479871775851
ww,0.42663043426313735,0.18335311280352373,0.06523502208925919,0.5607746671681509,0.04356789769899884,0.20238242144330104,0.41782044071181323,0.623096773878351,0.16232611257364643,0.27476588810995,0.4220613101446066,0.46430191661021386,0.7328223978248393
zookeeper,0.2961753113603827,0.2600437177415838,0.22141995335447637,0.3735160351494598,0.07533170252970084,0.09397319662302747,0.15469402359929876,0.47019248176104395,0.12053994721563199,0.2398411751636241,0.32285855760307625,0.40524871945473745,0.5339417817071559
