NGram,NGram-C,TMI-LR,TMI-MNB,TMI-SVM,TMI-DT,TMI-RF,LineDP,PMD,CheckStyle,Glance-MD,Glance-EA,Glance-LR
ambari,0.007814285051054934,0.01101209994065715,0.013322623403180465,0.00990648999649265,0.013398956225215466,0.011937491002321467,0.01069263686987665,0.010013226191683317,0.012231082777099283,0.011469450798287368,0.006009892516442,0.007812917313879784,0.007618181737857816
amq,0.006288094942266723,0.009134987095928662,0.010936046139676154,0.006703905553029462,0.011165430278482793,0.009261795558339038,0.007207592577633915,0.0058931673246474,0.009555269578251653,0.008731178805699008,0.003917212035171647,0.004856161874439469,0.0033852010620375075
bookkeeper,0.007348844335811349,0.0090752304124018,0.0087407121676446,0.00733640058851575,0.00910752069879155,0.0091819649461403,0.00858027329987835,0.00673490981288365,0.00853678815481615,0.0088829213378297,0.0050332340878315,0.007883212915052,0.0047785135442919
calcite,0.026023459190270857,0.03697325495288864,0.038263647081833524,0.026478280118545656,0.0395186245847123,0.030047798745035915,0.024736581255977344,0.023217977957175114,0.03781101096548479,0.03767238249052553,0.019767117500369757,0.033617713326307544,0.0148751309631632
cassandra,0.00817892985728442,0.0109784975462028,0.01050403181289258,0.00764027868511844,0.01066115126605488,0.00893597472362592,0.0080452092002341,0.00640775195252132,0.009603169583585579,0.009721300294272919,0.0040347328343630995,0.00984872965462258,0.00349854074813546
flink,0.0008769845042304,0.0012079235136636,0.001478074947288,0.0013849909436207,0.0014820450245278,0.0014811742749651,0.0014851901786023,0.0014606441289333,0.0014609239972861,0.0014364956863322,0.0005343590057582,0.0007175421556016,0.0013956154274008
groovy,0.0032625576361624614,0.004383597584169669,0.005289683928055292,0.0038712984828093537,0.005296912534731023,0.004964194356790346,0.004389766071731792,0.003800273177945331,0.004949069220527161,0.004473674088119077,0.0018506933420146306,0.003362080030946008,0.003116830154617054
hbase,0.00641649641328015,0.00813858707898455,0.009314434545093425,0.007601148154896575,0.009355705443097875,0.0088593036874166,0.007965457448364075,0.006476887157628125,0.00830890067804435,0.008326765746994725,0.003624620895749175,0.00853647958131965,0.003962086961387825
hive,0.0018948953577792,0.0025905775612599666,0.0027717020723768667,0.0021728147130048335,0.0027913694602272666,0.0027450023028138333,0.002709882192485,0.0023671113967499665,0.0026636272190475666,0.0025550680128511,0.0012100849354777332,0.002331927006534633,0.0021467633759119
ignite,0.008812031006033751,0.013542484577554,0.0171143286156418,0.01293759608412745,0.017557617437652252,0.01488096553454235,0.0132337575409997,0.0105429571110954,0.01535935502949245,0.0145150676696401,0.0054089518300465995,0.0091367540244108,0.00552498243189925
log4j2,0.01104999612426739,0.01540049283912649,0.0164501597855398,0.00981334935988387,0.01657596815629232,0.01216598350217789,0.00805271473360447,0.00713508180565965,0.01490648262935176,0.01418194355812636,0.0070423247255485,0.01072607874481439,0.00480437311906632
mahout,0.009446907557555461,0.01228673962330416,0.0142261651489956,0.010327941596941639,0.01424920781484588,0.013488721879027861,0.01175807455978534,0.00779489182042532,0.0134712014514111,0.01311791359994916,0.00689613769581034,0.00940894370333426,0.00621325204310582
mng,0.0036177714905317,0.00448146870756428,0.00452130774845526,0.0033057196038620198,0.00467127132732512,0.0043893933130892005,0.0034524129478738,0.00180931447729742,0.0048021467085834,0.00275100277091404,0.0013384236812259399,0.00246609310912612,0.00103175862448524
nifi,0.0036606870277094,0.006243059450212933,0.007417538963716133,0.004752473475240833,0.007636053598879833,0.005753516381059866,0.005202621152499433,0.0044992464999419005,0.006754186516218134,0.0063449828877476,0.004021520692702133,0.005627071013510534,0.003928678055424534
nutch,0.007278879912182425,0.00959654944492885,0.008549658166251941,0.005770030744663941,0.008777178826524226,0.00921432653588305,0.006598238687820417,0.004089206784323875,0.008318784823134242,0.0094347279673763,0.005375120268690059,0.008158000668751799,0.0027741933779150164
storm,0.001811740684864125,0.002379989440766725,0.0023746521878024,0.0012463342264275,0.002330058682593725,0.002402151526719925,0.00238798573656865,0.0016862777300840751,0.0022315973055993,0.0020916601827636002,0.0009605137823381501,0.0021845005537269,0.0014603942492331695
tika,0.0192026613887059,0.02267933349853967,0.020358000647164354,0.01628347321433949,0.0213562850083794,0.02141938320419501,0.015675271917843545,0.011568646741427836,0.022382933213295965,0.021741718527399954,0.009659168382461128,0.016819113273165882,0.007344545051225873
ww,0.007779029690580985,0.011112609898054192,0.01150376587587498,0.0069284522075155714,0.011721940615174294,0.010294295184912957,0.008586318364265072,0.006434729676847993,0.01050530290454525,0.009734089621470586,0.003788437019401057,0.006955062533724029,0.004916306239492257
zookeeper,0.010663743874405133,0.012173503812386867,0.010464817684161434,0.010942937642868434,0.012688622390895167,0.012790182060263467,0.012119442021033468,0.008863471878579467,0.012562603324598267,0.0115188624665431,0.006737291048181067,0.0095336318895037,0.007495085188243966
