NGram,NGram-C,TMI-LR,TMI-MNB,TMI-SVM,TMI-DT,TMI-RF,LineDP,PMD,CheckStyle,Glance-MD,Glance-EA,Glance-LR
ambari,0.9068333333333334,0.6885,0.16816666666666666,0.6996666666666667,0.1085,0.5005,0.6021666666666666,0.6768333333333333,0.4535,0.5823333333333334,0.9381666666666667,0.7551666666666667,0.7541666666666667
amq,0.8750769230769231,0.6659999999999999,0.1533076923076923,0.7620769230769231,0.0766923076923077,0.5066923076923077,0.6847692307692308,0.7614615384615384,0.4923076923076923,0.6123846153846154,0.8893076923076924,0.7854615384615384,0.8616153846153847
bookkeeper,0.786,0.568,0.4795,0.879,0.39599999999999996,0.229,0.45499999999999996,0.645,0.5375,0.6135,0.9675,0.509,0.855
calcite,0.8502857142857143,0.6617142857142857,0.192,0.8092857142857143,0.09557142857142857,0.7084285714285714,0.778,0.83,0.5577142857142857,0.4147142857142857,0.9148571428571429,0.6138571428571429,0.9355714285714285
cassandra,0.7546,0.5,0.175,0.7502,0.1392,0.4696,0.6428,0.714,0.4664,0.6276,0.8962,0.47900000000000004,0.8534
flink,0.923,0.667,0.026,0.346,0.013,0.0,0.0,0.167,0.077,0.154,0.974,0.795,0.167
groovy,0.8272307692307692,0.6714615384615384,0.22638461538461538,0.6686923076923077,0.1900769230769231,0.361,0.5277692307692308,0.6445384615384615,0.38223076923076926,0.5534615384615384,0.9243846153846154,0.6633846153846154,0.7188461538461538
hbase,0.845,0.6635,0.19025,0.5955,0.10875,0.485,0.66875,0.73175,0.40625,0.5125,0.8905000000000001,0.29225,0.84
hive,0.8856666666666667,0.707,0.071,0.5766666666666667,0.04666666666666666,0.13666666666666666,0.26466666666666666,0.4206666666666667,0.3,0.347,0.9426666666666667,0.5983333333333333,0.5123333333333333
ignite,0.89,0.731,0.1855,0.696,0.107,0.5589999999999999,0.678,0.781,0.501,0.6174999999999999,0.922,0.7355,0.8825000000000001
log4j2,0.8019000000000001,0.4873,0.14379999999999998,0.7181,0.0991,0.6237,0.7923,0.8376,0.4387,0.524,0.8594999999999999,0.5927,0.8899
mahout,0.8311999999999999,0.5264,0.19820000000000002,0.6356,0.1588,0.4112,0.509,0.7376,0.3648,0.4568,0.849,0.587,0.7919999999999999
mng,0.7338,0.6202,0.3224,0.6848,0.3072,0.4582,0.6568,0.8332,0.5058,0.86,0.911,0.7872,0.912
nifi,0.8666666666666667,0.6696666666666666,0.139,0.7403333333333333,0.05566666666666667,0.5266666666666666,0.5716666666666667,0.6623333333333333,0.465,0.5833333333333334,0.9386666666666666,0.7273333333333333,0.793
nutch,0.6865,0.5041666666666667,0.4703333333333333,0.6911666666666667,0.44566666666666666,0.4009166666666667,0.654,0.7800833333333334,0.48725,0.37683333333333335,0.8583333333333334,0.5736666666666667,0.8535
storm,0.7275,0.5415,0.11725,0.80725,0.13949999999999999,0.24875,0.19175,0.675,0.3375,0.587,0.9385,0.359,0.68575
tika,0.7175454545454546,0.4889090909090909,0.4161818181818182,0.6193636363636363,0.3920909090909091,0.47563636363636363,0.6631818181818182,0.8048181818181818,0.43945454545454543,0.45145454545454544,0.8513636363636363,0.5868181818181818,0.8692727272727273
ww,0.8025714285714286,0.43392857142857144,0.2277142857142857,0.7592142857142857,0.1767142857142857,0.4848571428571429,0.6825,0.8474285714285714,0.4446428571428571,0.6237857142857143,0.9279285714285714,0.651,0.8922142857142857
zookeeper,0.7416666666666667,0.5623333333333334,0.4096666666666667,0.7276666666666667,0.32366666666666666,0.42100000000000004,0.5499999999999999,0.7933333333333333,0.49433333333333335,0.5846666666666667,0.918,0.7043333333333333,0.904
