NLP-NGram,NLP-NGram-C,MIT-TMI-LR,MIT-TMI-MNB,MIT-TMI-SVM,MIT-TMI-DT,MIT-TMI-RF,MIT-LineDP,SAT-PMD,SAT-CheckStyle,BASE-Glance-MD,BASE-Glance-EA,BASE-Glance-LR
1123,4928,96,506,59,1166,2492,1247,146,172,782,58,59
1352,1065,15,754,87,490,10,178,232,102,70,138,168
1225,903,1,30,4,28,534,79,220,129,252,391,86
85,245,3,55,8,12,11,64,249,226,85,241,13
87,245,85,56,51,6,42,108,90,179,113,290,49
224,196,85,56,51,76,3,108,90,179,291,935,4
186,96,20,56,7,21,11,74,187,290,172,10,234
97,95,1,56,4,10,35,101,1,278,344,258,33
619,88,79,322,12,176,167,437,107,314,210,12,4
135,87,8,284,1,307,687,1266,1,865,1,1,1
140,283,1,14,1,1620,42,47,60,29,95,35,1
141,285,1,16,1,13,65,1,1,29,115,21,11
143,287,1,15,1,2,5,38,1,29,195,425,9
278,260,7,764,29,2,3,173,3,29,308,1,117
407,268,2,88,2,114,26,35,7,126,140,861,478
260,262,18,293,6,51,1,39,3,111,207,411,13
4,485,15,384,1,219,309,66,3,529,114,156,78
15,719,12,107,16,5,126,1,407,406,3261,400,50
72,120,80,143,56,29,2,2,51,332,1349,3,387
72,119,17,128,18,382,56,3,51,332,289,52,4
73,119,21,56,29,5,21,35,55,333,592,719,39
692,119,80,29,83,2,31,14,96,329,1643,202,221
690,119,29,37,9,113,44,677,96,329,629,1709,52
254,211,125,542,401,48,85,625,29,815,574,488,32
221,218,50,465,43,126,16,4,21,50,50,50,1
575,1064,6,344,100,15,294,100,21,332,43,617,1
29,32,197,34,216,115,8,39,1,25,10,34,10
29,33,2,158,18,4,3,33,1,2,228,1272,10
131,38,1,124,36,63,34,45,1,279,160,153,7
178,38,7,187,7,5,14,26,1,400,465,459,11
134,38,5,192,5,30,1,46,16,243,546,165,104
141,41,2,161,26,2,11,46,16,324,158,267,7
135,40,87,163,35,65,10,77,61,261,251,164,13
122,40,8,179,1,58,15,6,1,293,111,180,22
125,38,31,252,182,51,83,139,1,330,5,186,5
88,39,28,243,3,18,41,2,1,103,1,16,1
577,259,5,243,61,8,28,3,1,33,2,1881,2
776,517,67,797,88,2,458,13,1,201,979,26,1169
1074,4139,3,293,64,60,5,58,23,170,539,223,72
239,9679,12,284,155,356,260,846,135,401,6849,384,134
257,9941,0,391,0,70,263,143,42,183,27354,6075,19
14160,10661,0,4203,0,438,181,73,235,281,43921,5835,594
112,102,161,47,65,54,69,7,51,6,8,8,8
121,18,30,122,4,1,6,9,38,9,7,7,7
106,62,30,124,1,52,105,1,3,19,40,40,40
96,164,141,23,108,1,1,13,3,19,44,44,44
148,96,69,23,1,24,4,87,3,80,101,485,102
263,97,1,23,1,21,22,6,10,19,281,53,53
279,173,115,23,1,82,32,3,5,18,361,14,49
200,249,86,368,159,130,63,223,5,64,264,706,345
202,278,79,80,24,56,4,85,5,7,107,170,2
200,279,12,403,25,2,56,281,423,752,376,2241,62
311,376,12,281,3,3,196,2,253,28,531,1670,137
210,778,111,106,129,40,35,77,23,89,56,370,36
273,132,3,13,3,26,2,37,22,2,107,13,28
327,133,118,245,171,191,312,398,32,39,458,148,92
355,92,4,143,8,25,56,100,32,41,80,12,44
608,46,9,96,4,25,53,5,32,14,313,321,6
24,3000,33,16,124,29,4,65,32,744,389,136,460
16,3002,13,78,21,358,36,70,32,43,469,64,4
21,3004,10,78,10,40,1,79,33,43,300,2685,1
21,752,48,34,18,24,29,33,69,43,4279,25,15
1237,3201,2,158,2,202,138,132,33,47,407,1692,1
1813,3199,38,900,31,61,157,66,101,42,144,5,16
2002,4449,12,645,23,69,339,368,149,47,518,473,486
2019,4397,33,339,33,51,68,114,318,47,824,184,25
1896,4100,33,116,29,6,53,84,156,47,1127,525,2
9,23,305,77,5,30,280,94,3,51,384,192,2
9,23,2,12,13,93,2,1,151,3,37,224,37
1159,294,550,55,548,99,77,957,159,383,108,26,143
