"name","NGram","NGram_C","TMI_LR","TMI_SVM","TMI_MNB","TMI_DT","TMI_RF","LineDP"
"recall",1.60948460258746e-10,7.57650759016601e-21,6.40335733297123e-22,6.40335733297123e-22,4.50995615773361e-19,6.40335733297123e-22,6.40335733297123e-22,6.40335733297123e-22
"far",5.17051744828483e-19,0.167777634651369,6.40335733297123e-22,6.40335733297123e-22,0.0693647917842909,6.40335733297123e-22,6.40335733297123e-22,6.40335733297123e-22
"ce",3.13013760490496e-17,1.78528014736073e-21,6.40335733297123e-22,6.40335733297123e-22,1.96111446263115e-20,6.40335733297123e-22,6.40335733297123e-22,6.40335733297123e-22
"d2h",1.05577317072531e-14,4.16005412410528e-21,6.40335733297123e-22,6.40335733297123e-22,8.91243658943404e-19,6.40335733297123e-22,6.40335733297123e-22,6.5624532844431e-22
"mcc",2.01556298607274e-21,7.41852526876537e-22,2.36910474698819e-20,5.02525714601909e-20,1.01964899414019e-21,6.89247156163788e-22,6.5624532844431e-22,2.50648944113891e-21
"ifa",3.82142544328033e-12,6.24285611012402e-16,0.030649624780699,0.0404286476480477,1.4931387647927e-09,0.562390604160558,0.337482633869184,0.00679054603808302
"recall_20",1.63081633180914e-14,1.4412763141243e-20,6.40335733297123e-22,6.40335733297123e-22,4.08716939763453e-18,6.89247156163788e-22,4.92237912598169e-21,4.94647582991351e-15
"ratio",2.2094929089302e-05,8.57711035612601e-17,6.40240304127927e-22,6.40264160143551e-22,5.45964070549743e-14,6.40168741187354e-22,6.39691850604854e-22,2.94215179994442e-21
