ambari,987,548,2887,783,204,364,
amq,874,776,733,557,301,159,1159,1064,959,900,798,529,245,
bookkeeper,80,111,
calcite,2056,1937,1694,1545,1518,1180,919,
cassandra,550,277,370,255,162,
flink,110,
groovy,101,155,176,109,353,74,266,146,229,183,94,431,398,
hbase,467,1505,1468,480,
hive,136,251,1233,
ignite,2040,1970,
log4j2,253,252,240,289,293,271,457,340,301,301,
mahout,347,218,401,298,116,
mng,74,83,69,46,38,
nifi,1305,1095,791,
nutch,132,115,131,131,127,109,75,180,198,196,170,161,
storm,37,241,52,41,
tika,155,218,258,255,248,207,177,224,215,176,138,
ww,239,508,291,227,222,389,350,399,254,204,150,91,81,134,
zookeeper,202,160,38,
