Glance-LR,Glance-B-noCC,Glance-B-NT,Glance-B-NT-noCC,Glance-B-NFC,Glance-B-NFC-noCC
9,9,41,43,3,2
304,304,305,305,331,336
8,9,82,79,6,6
599,599,674,685,599,599
708,711,934,973,720,718
2296,2296,2411,2411,2295,2296
59,54,126,132,37,40
11,10,26,26,13,56
49,82,103,142,22,65
11,10,58,57,14,12
67,67,67,67,158,154
1,1,13,11,87,80
24,18,45,49,31,39
4,8,26,25,6,6
230,228,21,21,217,213
55,55,81,81,44,44
11,13,33,25,14,12
17,17,14,14,1,1
28,23,88,97,7,10
520,519,563,565,513,513
1,1,10,10,1,1
2,2,10,11,3,2
3,3,15,14,2,6
129,129,140,140,127,127
11,9,44,41,15,14
6,6,48,47,13,5
8,8,25,22,42,89
27,29,46,56,33,40
65,64,3,3,2,2
40,40,44,44,42,46
3,3,5,5,1,1
285,292,396,395,98,98
26,26,57,59,14,25
621,618,4774,4763,4832,4833
1107,1107,1115,1111,175,175
864,864,863,865,863,862
929,928,1082,1087,840,911
107,105,1564,1643,923,896
26,28,85,79,43,42
875,886,3795,3815,838,807
1,1,19,19,105,105
326,324,399,377,305,312
4,4,8,7,17,4
26,26,110,102,17,22
5,6,3,3,10,7
584,595,628,601,621,637
3,4,20,16,2,2
43,46,102,93,96,86
10,10,17,19,14,4
1,1,2,1,44,33
294,293,272,274,283,365
3663,3666,3970,3973,3664,3667
2754,2754,2764,2764,2756,2750
13,13,59,60,82,32
58,62,82,82,10,10
69,88,157,159,53,29
2,2,38,34,8,4
49,58,95,120,32,18
4,5,32,32,7,5
10,17,59,58,62,63
1,1,13,13,2,3
48,48,45,44,45,60
1,1,27,36,3,4
2,1,70,76,2,2
11,10,20,22,11,26
9,5,48,46,4,3
79,79,590,592,12,12
161,161,186,194,161,161
294,273,284,280,327,329
6,7,30,26,2,2
50,36,122,120,15,30
387,387,385,389,267,294
4,4,7,7,7,13
39,46,56,55,103,102
741,725,791,804,17,12
52,47,47,45,49,46
33,33,34,34,34,34
13,13,9,9,11,11
13,13,9,9,11,11
10,11,53,51,3,3
10,11,51,53,3,3
7,6,69,76,10,11
11,11,10,11,30,36
104,104,121,122,106,106
7,7,58,65,8,11
13,15,67,68,13,29
22,23,80,68,37,51
5,5,30,32,2,2
1,1,35,35,1,11
2,2,50,51,115,115
1169,1170,1216,1216,1168,1163
109,108,325,326,93,85
213,201,226,229,201,194
19,19,20,20,1630,1638
594,594,622,628,595,597
8,7,12,4,5,8
7,7,7,10,7,5
40,40,68,69,6,15
44,45,82,74,22,16
112,113,129,129,118,116
53,52,261,255,26,7
78,77,137,137,74,77
9,6,41,39,5,9
2,1,14,14,2,5
62,69,201,211,14,10
239,239,249,249,239,239
36,36,36,36,35,35
28,28,64,61,25,25
92,92,91,91,91,100
44,44,56,55,44,44
6,6,31,31,3,3
460,460,492,489,142,138
4,4,29,30,3,3
2,8,12,13,1,3
15,15,18,18,2,2
1,1,5,4,1,1
1,1,6,6,1,3
486,486,576,577,471,473
25,26,153,143,19,47
2,2,21,22,4,2
2,3,34,36,4,4
37,37,43,49,71,67
143,135,1064,1063,45,45
