NGram,NGram-C,TMI-LR,TMI-MNB,TMI-SVM,TMI-DT,TMI-RF,LineDP,Glance-MD,Glance-EA,Glance-LR
159,132,217,12,570,153,246,463,9,394,9
625,336,167,353,241,254,153,435,249,1324,304
80,1,73,105,46,112,80,2,1,5,8
157,338,136,873,136,84,638,124,173,789,599
163,511,1,690,29,72,144,327,828,797,708
132,146,499,57,0,85,2555,432,554,3621,2296
130,171,3,149,3,58,58,101,2526,159,59
123,171,2,158,3,2,134,68,4977,339,11
62,343,2,357,2,383,186,106,626,1,49
34,449,18,226,19,22,2,11,158,802,11
2,770,9,346,37,191,233,294,660,3655,67
389,7665,123,342,13,22,167,241,2755,1966,1
35,516,1,51,126,49,10,48,217,204,24
29,627,15,40,4,207,270,113,192,529,4
30,625,30,51,9,5,80,1,6,68,230
136,572,54,40,37,70,39,38,129,321,55
134,628,1,40,1,369,20,69,1484,273,11
183,745,1,40,30,196,140,1,1169,1901,17
257,744,576,40,355,128,62,506,5548,772,28
95,96,1940,3235,3557,221,742,2157,2747,68,520
233,483,2,74,1,165,208,634,247,2,1
113,46,27,24,6,6,92,8,2,6,2
258,182,1,4,1,5,143,1821,104,12,3
262,183,13,48,13,1,13,140,21,2,129
291,211,13,71,1,1,144,134,11,367,11
291,211,1,1,1,2,182,189,6,21,6
300,221,22,1,1,67,34,122,142,509,8
69,212,4,15,1,48,75,191,180,215,27
129,1769,34,216,1,1,33,1,267,2117,65
339,2432,49,39,18,20,20,61,66,1,40
624,2676,15,91,37,23,87,88,3,39,3
534,2676,65,77,48,22,49,71,185,13,285
787,1869,9,133,66,6,139,241,1139,4,26
2446,865,144,4447,0,0,0,54,4826,277,621
1281,1615,21,857,30,368,8,370,2069,413,1107
1383,853,963,1085,855,10,395,1966,1389,2026,864
1148,767,218,2539,258,1287,469,9,16,120,929
1178,1125,3,7326,3,111,3,182,964,2374,107
1047,869,14,2079,15,137,156,209,247,5,26
1038,923,9,5187,1,233,139,546,192,270,875
1444,768,24,4814,19,469,180,127,390,734,1
4468,762,102,363,2,147,614,182,728,284,326
456,980,203,13,640,752,763,87,658,1001,4
456,985,49,785,116,93,120,207,500,1521,26
3448,1002,21,638,898,121,136,207,2590,1503,5
6988,5086,110,771,2,371,9,5600,294,184,584
6985,5087,29,750,2,163,420,258,22,1722,3
314,717,14,54,15,89,197,46,43,479,43
403,262,54,685,1,67,77,109,1,2399,10
287,262,21,432,1,26,34,15,2988,15,1
199,4065,3,1202,1,45,19,24,393,82,294
410,6961,2,1913,20,274,1109,256,1458,732,3663
1320,3783,71,1059,732,110,324,2094,1437,3382,2754
1124,4928,96,732,59,141,291,1182,782,58,13
1352,1066,41,754,72,54,8,185,70,138,58
1225,903,1,35,248,455,27,812,252,391,69
85,245,115,55,45,573,11,59,85,241,2
