NGram,NGram-C,TMI-LR,TMI-MNB,TMI-SVM,TMI-DT,TMI-RF,LineDP,Glance-MD,Glance-EA,Glance-LR
0.010965056,0.014989559,0.019091032,0.012472025,0.018953208,0.017326091,0.012114869,0.012971387,0.0071808883284293,0.0101536022739696,0.0077120267681265
0.004606829,0.006300003,0.008236494,0.005078095,0.008290741,0.007319816,0.005205691,0.005053132,0.0030155479055992,0.0038577065787148,0.0024233709898258
0.021580151,0.030310156,0.036996411,0.030290261,0.037115055,0.036368612,0.033444767,0.030927784,0.0174751766516594,0.0222096743835874,0.0273268440541849
0.003825198,0.006162622,0.007159189,0.003884277,0.007277875,0.00605417,0.004123861,0.003259882,0.0027508907730391,0.0037875976790656,0.0019175149855655
0.001340821,0.001997023,0.00171283,0.001104729,0.001753292,0.001502515,0.001218864,0.00081121,0.001251182840921,0.0015834793956568,0.0007002042864052
0.002197993,0.003855513,0.004242994,0.004134102,0.004248998,0.004182881,0.004265081,0.004219261,0.001769423930664,0.0030221782232671,0.0041252919740027
0.012234458,0.017681127,0.020779605,0.012304899,0.02079792,0.014290247,0.012238554,0.009451857,0.0072469408051195,0.0091924016885136,0.0039052556837211
0.010691783,0.015330022,0.017382378,0.010055382,0.018121935,0.01427048,0.009593262,0.007039521,0.0064250438624991,0.0086955398211793,0.00335282941549
0.00811606,0.011282322,0.013533963,0.008393745,0.014059849,0.011762581,0.008259926,0.008246463,0.0051306263770853,0.0060737571105545,0.0056086809402188
0.006362995,0.009186098,0.010493596,0.006526668,0.010517036,0.008067553,0.005917977,0.005002491,0.0044056540220223,0.0051138087281447,0.0021856078803065
0.002753354,0.004359201,0.004838392,0.002828048,0.004904679,0.004224011,0.003007551,0.002518456,0.001932804430009,0.0021643806026568,0.0016871044079848
0.001246974,0.002144412,0.002281088,0.001223793,0.002408849,0.00155688,0.001329628,0.00085384,0.0009925293489861,0.0012030830083999,0.0003974012148081
0.009630428,0.013791837,0.016967198,0.01241147,0.017377638,0.017425035,0.017029748,0.015188804,0.006047921780911,0.0076180371352785,0.014670672738369
0.008218525,0.011863656,0.015035869,0.008450795,0.015152767,0.011656442,0.008332761,0.006423038,0.0050836872990395,0.0062111540752048,0.0029896520956534
0.007019409,0.010199164,0.012686453,0.007685476,0.013047631,0.012018644,0.009006211,0.006188323,0.0038721337627851,0.0053510747185261,0.0021942651074593
0.005827745,0.00899462,0.011264303,0.00645435,0.011379434,0.009447943,0.006450388,0.006317547,0.0033150523944765,0.004991805978263,0.0027670488511198
0.004726848,0.007111782,0.008822971,0.005370335,0.008899897,0.006996716,0.005664902,0.004670629,0.0032364265386976,0.0036994909893398,0.0019350957521473
0.003083153,0.00458212,0.005467251,0.003065481,0.005707905,0.004816765,0.003629462,0.002260044,0.0019642230796211,0.0020027345716254,0.0010322580645161
0.001407535,0.00202445,0.002702571,0.001602868,0.002743985,0.002520385,0.002042346,0.001327601,0.0006094800264688,0.0006340592544313,0.0005348200733808
0.005503009,0.006980803,0.006905662,0.005738429,0.007431772,0.007470506,0.006974514,0.004654335,0.0025354280798659,0.0062948422905103,0.0026235026235026
0.008805485,0.010617438,0.010066514,0.008252837,0.010298112,0.010409745,0.009691599,0.008224291,0.0068141592920353,0.0090006413233375,0.0065673768338564
0.031398549,0.044394,0.04646248,0.030987787,0.047030644,0.034885589,0.027342966,0.027873981,0.0229344956112663,0.0425935478106177,0.0164248377793799
0.027296546,0.039628446,0.038758316,0.026160067,0.04295785,0.028643221,0.024034351,0.024081954,0.0206045403764676,0.0381502755297677,0.0141565600882028
0.031978184,0.044920002,0.047454573,0.032866354,0.047927132,0.042569126,0.030455409,0.030837701,0.0240941340224122,0.0393646375231764,0.0189353449592279
0.028133101,0.039990242,0.039952897,0.028080639,0.042265892,0.029991274,0.026132099,0.023522155,0.0208617057009374,0.0348450383193913,0.0160753880266075
0.026794606,0.038435695,0.039131604,0.026784895,0.040230514,0.028406053,0.023427829,0.022714286,0.0196336481545442,0.0330526789734353,0.0146360973289662
0.018922831,0.026006814,0.028534296,0.021253172,0.028580437,0.022780232,0.020490612,0.016838515,0.0146504641469279,0.0234123226962176,0.0115732141829425
0.015804091,0.021745681,0.022890898,0.016215729,0.023739894,0.017882169,0.016218254,0.0123291,0.0126411452194263,0.0199333261641036,0.0084391921488951
0.015243294,0.020496001,0.018933782,0.013215416,0.01900304,0.01517067,0.014161369,0.010374645,0.0080107174103237,0.017898547776919,0.0062193590211093
0.008461266,0.011722932,0.011135125,0.00901128,0.011241918,0.008914289,0.00860582,0.007524148,0.0040753822214538,0.0112636753400354,0.0032298790110468
0.00811468,0.01097343,0.011336071,0.00751609,0.011668291,0.010516724,0.010402107,0.007768944,0.0041126024165524,0.0098207981976693,0.0056609738345378
0.005742084,0.007274055,0.006973735,0.005429268,0.00715865,0.00593266,0.005481065,0.003847944,0.0026031006287327,0.0059929964198701,0.001636945360748
0.002962445,0.003980862,0.003660336,0.002425552,0.003741708,0.003178035,0.002956842,0.00213186,0.0010563499307034,0.0038016581029536,0.0009231568648045
0.000810438,0.001151786,0.00141059,0.001320613,0.00141453,0.001413699,0.001417532,0.001396772,0.0004786966093251,0.0006562885569527,0.0013311763189668
0.002667233,0.003717429,0.004470712,0.002827882,0.004496386,0.0041472,0.003037107,0.002110032,0.0014665119577128,0.0030586607435458,0.0011408717297171
0.003318469,0.004408361,0.004879383,0.004641995,0.004871697,0.004906343,0.004500628,0.004236613,0.001191318268121,0.0030787658734243,0.0040390332170091
0.004504251,0.005548439,0.006483807,0.004688822,0.00648389,0.006192821,0.006347395,0.004988613,0.0024045245701771,0.0042444821731748,0.0044886253304853
0.003098459,0.004126732,0.004539795,0.002407459,0.004585403,0.004319089,0.00288662,0.001901746,0.0021654636313159,0.0032913147716545,0.0012798217283616
0.006686844,0.009215386,0.011475648,0.011926537,0.011379684,0.011318717,0.01101794,0.010837239,0.0030885722825545,0.0066747846479953,0.0103277662738115
0.001578462,0.001946121,0.001676742,0.000891648,0.001718326,0.001351042,0.000764655,0.000722455,0.0002406993761072,0.0011503982982787,0.0001540512119811
0.00316782,0.004396614,0.005790422,0.004942768,0.005828079,0.005888174,0.005389845,0.004785119,0.0017372119485437,0.0035812421049889,0.0039069579029283
0.001904034,0.002487424,0.003319153,0.001816745,0.003378938,0.002252756,0.002228268,0.001311198,0.0012639290136194,0.002340757554263,0.0008095100800638
0.002928129,0.003762753,0.004832577,0.00298113,0.00465165,0.004642808,0.004589727,0.004114009,0.0017004948876147,0.0025111637606315,0.0037963435448962
0.00230498,0.003040604,0.003823709,0.002105838,0.00395968,0.003100278,0.00230371,0.001773345,0.0013533562511308,0.0018430423791013,0.0009503396958912
0.001214781,0.0016153,0.00198519,0.001091264,0.002123811,0.001751085,0.001217112,0.000993461,0.0006926356952691,0.0011096796544295,0.0004277307164735
0.004509589,0.006473509,0.008103592,0.005911082,0.008180563,0.007903079,0.007839283,0.007688277,0.0031102913115379,0.0054944793790667,0.0067532488120385
0.004202195,0.005958365,0.007439762,0.003809744,0.007492767,0.006525267,0.005086481,0.003507509,0.0029380969000856,0.0048317654199226,0.0018028424678726
0.006547885,0.008531791,0.011484157,0.009029103,0.01143795,0.011041536,0.010355947,0.007953894,0.0038235695753106,0.0078975229629064,0.0028994669776871
0.00802485,0.010225193,0.011260623,0.009811589,0.011286258,0.010718958,0.010191143,0.008878924,0.0042399381943933,0.0120583550773693,0.0062361575892784
0.007917239,0.009448534,0.010300248,0.007507307,0.010222314,0.009506866,0.007904876,0.00585287,0.0040076871198963,0.0089776275214182,0.0047504283440773
0.001876469,0.003055105,0.003292306,0.002217765,0.003320712,0.002904994,0.002427837,0.001748219,0.0013534339120495,0.0041506240143536,0.0010459894719756
0.000482125,0.000645422,0.000760832,0.000621446,0.000762681,0.000757372,0.000692309,0.000567906,0.0002242133847086,0.0005450831060881,0.0004753892249279
0.001100668,0.001450107,0.00143141,0.001398994,0.001435653,0.001439892,0.001420741,0.001331147,0.000688966567635,0.0011873084522558,0.0012696452557997
0.00405191,0.005624546,0.006080188,0.00439749,0.006124341,0.005983158,0.006036967,0.005123135,0.0026170612134211,0.0051929439023516,0.0045974762789787
0.009085047,0.013666089,0.017357387,0.01296119,0.017466778,0.015523551,0.013097242,0.010262012,0.0052561681029394,0.0090870570361572,0.0056529740615993
0.007952803,0.01198519,0.015168173,0.011412326,0.015375616,0.013644817,0.01188348,0.008692013,0.0047995784718037,0.0077456642911484,0.0045543000947538
0.013915126,0.019622114,0.020629158,0.013044115,0.020653194,0.017655054,0.010001763,0.009512238,0.0088276910730502,0.0136915482622907,0.0081515536861325
0.013606585,0.01925044,0.019820664,0.011069026,0.020135669,0.013427562,0.006684343,0.008712922,0.0087007691984363,0.0136717776633387,0.0036945406564407
0.013023039,0.018623493,0.019137615,0.010677532,0.019283539,0.014199164,0.00673452,0.007985775,0.0084650348192318,0.0133993975209468,0.0036297936063545
0.012313282,0.017887668,0.01867609,0.01134791,0.018944681,0.011892353,0.01057227,0.009722298,0.0076832472592189,0.0115827368840445,0.0067189564532906
0.011678794,0.016692812,0.017309221,0.009095353,0.017396857,0.012276022,0.00666543,0.005998404,0.0065676335227738,0.0110349978110272,0.0036799359562023
0.008445145,0.012210755,0.013730643,0.007873093,0.013837806,0.010315164,0.00832834,0.006287499,0.004360200204691,0.0075557399602559,0.0042415483222319
0.010711007,0.01461933,0.017321007,0.012355949,0.017320597,0.01434353,0.010334529,0.009267765,0.0065140709081078,0.0086377072999649,0.0075018346878312
0.008043968,0.010897431,0.012048542,0.007340575,0.012046188,0.010734522,0.007168603,0.004963012,0.0056678562167368,0.0083959515411746,0.00355615729355
0.006749409,0.009298715,0.010256693,0.005963964,0.010236036,0.007412827,0.006131142,0.003950071,0.0048057574394545,0.0071688520692745,0.0030441400304414
0.006705614,0.009331936,0.009701793,0.005651335,0.009918395,0.00861095,0.005254328,0.004167449,0.0049815948070648,0.0070498769850145,0.0025299991275865
0.013259843,0.017199154,0.019783395,0.014601354,0.020142103,0.019200491,0.017835725,0.012586293,0.0095732640969309,0.0118230358504958,0.0079193811074918
0.008057778,0.010306215,0.012780254,0.008798436,0.013049818,0.011787308,0.00879847,0.006818161,0.0068969176083611,0.0085946795852456,0.0040246691953557
0.011795061,0.014882619,0.017986107,0.014853876,0.018013183,0.017611048,0.016960181,0.013526144,0.0083458310913691,0.0114867082376107,0.0121485247669671
0.009508309,0.012718864,0.0135963,0.008841725,0.013416171,0.01299793,0.011513264,0.004871536,0.0060521006929216,0.0093247045023013,0.0039498663883465
0.003291007,0.005181832,0.005389436,0.003239352,0.005274503,0.004554569,0.003160333,0.002171095,0.002317951244639,0.0046046490955153,0.0018043178109702
0.00508371,0.006325593,0.006877442,0.004637533,0.006776153,0.006135185,0.005026465,0.002354139,0.0021471722832811,0.0038313620201727,0.0014107593916268
0.005262454,0.006419346,0.006272858,0.004909156,0.006395227,0.005726897,0.004636785,0.002913917,0.0022542995309602,0.0039382049314433,0.0018773946360153
0.003908977,0.004829522,0.004545024,0.003957084,0.005021764,0.0051631,0.004150553,0.001934302,0.0013784183925259,0.0027878902708042,0.001021972406745
0.002162942,0.00278302,0.002559866,0.001692773,0.002593887,0.002558336,0.001776738,0.000986083,0.0005396199052292,0.0011279407025459,0.0004438889343161
0.001561751,0.002018843,0.002199767,0.001120905,0.002305233,0.00216722,0.001385274,0.000585157,0.0003828993807018,0.000809598386112,0.0001894973860507
0.009657892,0.014088793,0.015809238,0.010057013,0.015809188,0.014678338,0.011201244,0.009644019,0.0087012007657056,0.0113314266540974,0.0086848912235713
0.006327767,0.010320743,0.011551418,0.006209277,0.011652956,0.008517658,0.009828113,0.005795493,0.0055355376571993,0.0085097139443637,0.004333931389519
0.003736327,0.006226419,0.007031799,0.003841312,0.006965849,0.004645517,0.004845729,0.003781634,0.0037510303756278,0.0051367911085779,0.0030658794970394
0.009051157,0.012084904,0.012136995,0.006130691,0.012112089,0.010258592,0.007846489,0.005656109,0.0086692353289863,0.0107036322161782,0.003626838605682
0.008498408,0.011815645,0.009252029,0.005747126,0.010294565,0.01149745,0.007025938,0.004696365,0.0087926067272795,0.0107832681597345,0.0032645709622041
0.008749278,0.01215611,0.008206636,0.006042044,0.009901218,0.01203528,0.00674808,0.004611715,0.0092240117130307,0.011270788665469,0.0033276497442384
0.008774294,0.012175488,0.010706879,0.006296429,0.011167944,0.010238594,0.006756255,0.004705944,0.0091000647435436,0.0108488824515066,0.0031663554436957
0.008941834,0.012253623,0.010738076,0.006538785,0.011058105,0.010662554,0.007757896,0.005347594,0.0085811144854862,0.0109562872232835,0.003873089983022
0.00607537,0.007476406,0.006961765,0.003987746,0.007001951,0.006495529,0.004824388,0.002779795,0.0036459599291642,0.0058510053840237,0.0022417480481331
0.004531944,0.005764901,0.004822899,0.003530542,0.005365205,0.005339296,0.003731431,0.002447919,0.0025300899989156,0.0046296296296296,0.0018400204446716
0.008678611,0.010197347,0.007958015,0.007727527,0.007956136,0.010391836,0.008576295,0.004093035,0.0041984379341215,0.0086725917431192,0.0031399257031664
0.007208183,0.009213433,0.009250325,0.006989657,0.008654566,0.010134021,0.006494577,0.004943859,0.0028411196481952,0.0062595096396448,0.003338127452547
0.007069448,0.009002326,0.009075969,0.006347274,0.008574122,0.009388701,0.007487638,0.003603236,0.0030342015195281,0.0068065796937039,0.0020573997233748
0.006069048,0.007870408,0.008177891,0.005834898,0.007801059,0.008597291,0.006649569,0.003752192,0.0022810648104599,0.0061920070139548,0.0018820050074776
0.003453324,0.004929153,0.004921286,0.003689462,0.005020551,0.005169722,0.005022267,0.001947597,0.0012674271229404,0.0046407700240632,0.0012675250799931
0.001868376,0.002584928,0.002411957,0.001155091,0.00230747,0.002308892,0.002427245,0.001938549,0.0011112805874534,0.0027028371499162,0.0017700918155538
