"name","PMD","CheckStyle"
"recall",8.38494988556537e-22,8.33622662254967e-21
"far",8.53763889583123e-21,0.480520818731706
"ce",9.24692831472108e-22,1.96726946295518e-21
"d2h",8.59268386565849e-22,5.82260064648971e-21
"mcc",1.0706829007509e-21,8.38494988556537e-22
"ifa",5.86067124469807e-06,1.2976448728701e-16
"recall_20",8.38494988556537e-22,9.61918048940963e-21
"ratio",2.37435088777427e-20,1.98992816946597e-13
