"name","PMD","CheckStyle"
"recall",2.8551544020024e-21,1.366022223333e-20
"far",1.366022223333e-20,0.480520818731706
"ce",2.8551544020024e-21,4.49661591532612e-21
"d2h",2.8551544020024e-21,1.16452012929794e-20
"mcc",2.8551544020024e-21,2.8551544020024e-21
"ifa",6.25138266101127e-06,1.59710138199397e-16
"recall_20",2.8551544020024e-21,1.39915352573231e-20
"ratio",3.16580118369903e-20,2.27420362224682e-13
