,Glance-LR-5,Glance-LR-10,Glance-LR-15,Glance-LR-20,Glance-LR-25,Glance-LR-30,Glance-LR-35,Glance-LR-40,Glance-LR-45,Glance-LR-50,Glance-LR-55,Glance-LR-60,Glance-LR-65,Glance-LR-70,Glance-LR-75,Glance-LR-80,Glance-LR-85,Glance-LR-90,Glance-LR-95,Glance-LR-100
ambari-2.1.0,28,9,3,9,42,9,3,10,231,9,190,9,169,16,315,973,2,2,2,2
ambari-2.2.0,10,7,12,13,930,6,27,6,6,304,12,12,12,688,1228,2151,2160,2160,2160,2160
ambari-2.4.0,29,13,3,8,5,237,4,21,92,8,20,203,1,1,4,13,13,13,13,13
ambari-2.5.0,56,61,3,29,7,241,1058,102,1,599,5,121,2198,13,877,1034,1138,1149,1149,1149
ambari-2.6.0,48,56,132,167,302,687,154,180,162,708,260,306,121,1778,21,1141,1142,1142,1142,1142
ambari-2.7.0,165,117,164,276,294,275,546,222,427,2296,1044,3314,286,164,73,1637,1652,1652,1652,1652
amq-5.1.0,12,5,16,36,68,50,12,1,56,59,7,2,2,44,15,8,8,8,8,8
amq-5.2.0,53,19,22,38,2,21,2,40,2,11,25,46,3,7,8,8,8,8,8,8
amq-5.4.0,3,56,114,2,109,78,24,2,203,49,229,2,66,12,9,166,175,175,175,175
amq-5.5.0,75,11,10,11,11,11,9,11,11,11,11,11,12,1,21,19,19,19,19,19
amq-5.6.0,2,27,126,54,35,337,3,815,7,67,7,1,261,22,22,21,21,21,21,21
amq-5.7.0,163,72,56,128,210,98,113,271,23,1,2150,1044,176,162,1090,1112,1112,1112,1112,1112
amq-5.8.0,21,31,29,7,10,22,8,227,1,24,9,1,274,1,260,261,261,261,261,261
amq-5.9.0,10,22,56,1,1,1,51,1,54,4,1,46,31,1,39,39,39,39,39,39
amq-5.10.0,43,9,1,39,65,1,17,1,54,230,113,25,33,1,1,1,1,1,1,1
amq-5.11.0,14,32,6,99,216,1,17,1,1,55,49,7,33,204,1,114,114,114,114,114
amq-5.12.0,1,4,1,2,47,44,8,2,101,11,14,2,8,1,12,3,3,3,3,3
amq-5.14.0,35,22,89,42,43,44,41,41,41,17,42,42,41,42,978,3,3,3,3,3
amq-5.15.0,1,89,1,140,66,4,143,2,54,28,2,12,2,42,61,285,293,293,293,293
bookkeeper-4.2.0,1066,214,3485,438,382,364,6585,702,9131,520,11193,1718,14869,15719,3279,698,709,709,709,709
bookkeeper-4.4.0,405,29,31,58,100,98,47,80,49,1,234,79,139,186,107,365,365,365,365,365
calcite-1.8.0,1,18,1,28,2,47,140,32,4,2,7,50,2,10,27,15,80,29,79,65
calcite-1.11.0,1,15,5,4,2,5,8,23,2,3,1,4,11,3,2,18,178,207,79,65
calcite-1.13.0,14,4,11,16,1,9,15,19,15,129,5,18,18,39,5,1,1,210,218,218
calcite-1.15.0,2,10,17,41,10,3,16,107,16,11,17,69,2,1,3,181,158,179,211,211
calcite-1.16.0,12,6,6,6,3,2,2,6,39,6,19,6,228,14,21,1,158,179,211,211
