release,review_effort,total_effort,ratio
ambari-2.1.0,72556,292084,0.248
ambari-2.2.0,78705,316411,0.249
ambari-2.4.0,110717,445436,0.249
ambari-2.5.0,120587,484406,0.249
ambari-2.6.0,121382,487664,0.249
ambari-2.7.0,120444,484089,0.249
amq-5.1.0,46820,190852,0.245
amq-5.2.0,50183,204975,0.245
amq-5.4.0,63717,260959,0.244
amq-5.5.0,66930,274603,0.244
amq-5.6.0,74591,306066,0.244
amq-5.7.0,74534,305607,0.244
amq-5.8.0,76086,311711,0.244
amq-5.9.0,76865,315307,0.244
amq-5.10.0,78832,323082,0.244
amq-5.11.0,81402,333415,0.244
amq-5.12.0,85409,350040,0.244
amq-5.14.0,90355,370472,0.244
amq-5.15.0,91064,373372,0.244
bookkeeper-4.2.0,19619,78715,0.249
bookkeeper-4.4.0,15189,60408,0.251
calcite-1.8.0,81041,327252,0.248
calcite-1.11.0,84251,341392,0.247
calcite-1.13.0,67697,273186,0.248
calcite-1.15.0,71574,288305,0.248
calcite-1.16.0,73053,295153,0.248
calcite-1.17.0,74107,299074,0.248
calcite-1.18.0,76458,308933,0.247
cassandra-0.8.6,32852,131184,0.25
cassandra-1.0.9,36278,144502,0.251
cassandra-1.1.6,42100,168159,0.25
cassandra-1.1.11,42884,170533,0.251
cassandra-1.2.11,53334,211949,0.252
flink-1.6.0,151103,608219,0.248
groovy-1.5.5,26929,109318,0.246
groovy-1.6.0,35094,141955,0.247
groovy-1.7.3,38680,156480,0.247
groovy-1.7.6,39467,159176,0.248
groovy-1.8.1,43624,176662,0.247
groovy-1.8.7,45249,183462,0.247
groovy-2.1.0,50331,203909,0.247
groovy-2.1.6,50968,206046,0.247
groovy-2.4.4,60385,243567,0.248
groovy-2.4.6,60697,244632,0.248
groovy-2.4.8,60803,245541,0.248
groovy-2.5.0,69124,279517,0.247
groovy-2.5.5,69467,280363,0.248
hbase-0.94.5,70754,280440,0.252
hbase-0.98.0,150466,606913,0.248
hbase-0.98.5,155340,623281,0.249
hbase-0.98.11,162207,654904,0.248
hive-1.2.0,216628,871574,0.249
hive-2.0.0,257381,1039823,0.248
hive-2.1.0,275651,1112941,0.248
ignite-1.4.0,155216,610699,0.254
ignite-1.6.0,175219,690475,0.254
log4j2-2.1,19832,79796,0.249
log4j2-2.2,19964,80161,0.249
log4j2-2.3,20134,80883,0.249
log4j2-2.4,23204,93481,0.248
log4j2-2.5,25740,103402,0.249
log4j2-2.6,30229,121815,0.248
log4j2-2.7,33041,132836,0.249
log4j2-2.8,34442,138778,0.248
log4j2-2.9,36172,145534,0.249
log4j2-2.10,36946,148721,0.248
mahout-0.4,30909,125301,0.247
mahout-0.5,30840,124968,0.247
mahout-0.6,35901,145593,0.247
mahout-0.7,33067,133660,0.247
mahout-0.8,36873,149368,0.247
mng-3.1.0,22790,91695,0.249
mng-3.2.0,22819,91886,0.248
mng-3.3.0,24452,98343,0.249
mng-3.5.0,24743,99215,0.249
mng-3.6.0,25055,100401,0.25
nifi-1.2.0,103483,416418,0.249
nifi-1.5.0,121712,489997,0.248
nifi-1.8.0,139253,560333,0.249
nutch-1.3,11292,45486,0.248
nutch-1.4,11233,44989,0.25
nutch-1.5,11492,46006,0.25
nutch-1.6,11632,46843,0.248
nutch-1.7,11881,47477,0.25
nutch-1.8,12016,48420,0.248
nutch-1.9,11924,47780,0.25
nutch-1.10,13848,55704,0.249
nutch-1.12,17264,69185,0.25
nutch-1.13,17569,70459,0.249
nutch-1.14,18123,72871,0.249
nutch-1.15,19171,77351,0.248
storm-0.9.3,20451,80758,0.253
storm-1.0.0,55669,221337,0.252
storm-1.0.3,58982,234518,0.252
storm-1.0.5,59080,235508,0.251
tika-0.8,7636,30890,0.247
tika-0.9,8545,34174,0.25
tika-0.10,11594,46748,0.248
tika-1.1,12649,50768,0.249
tika-1.3,14520,58365,0.249
tika-1.5,15175,61281,0.248
tika-1.7,17232,69500,0.248
tika-1.10,21729,87547,0.248
tika-1.13,23282,93972,0.248
tika-1.15,29106,117323,0.248
tika-1.17,29754,120209,0.248
ww-2.0.5,17325,69404,0.25
ww-2.0.10,18435,74189,0.248
ww-2.1.1,18821,75656,0.249
ww-2.1.3,20936,84193,0.249
ww-2.1.7,21907,88316,0.248
ww-2.2.0,48394,195385,0.248
ww-2.2.2,48813,197224,0.248
ww-2.3.1,49202,198580,0.248
ww-2.3.4,49447,199575,0.248
ww-2.3.10,49601,200322,0.248
ww-2.3.15,49987,202082,0.247
ww-2.3.17,50414,204101,0.247
ww-2.3.20,50923,205872,0.247
ww-2.3.24,51194,207064,0.247
zookeeper-3.5.1,16272,65270,0.249
zookeeper-3.5.2,16579,66505,0.249
zookeeper-3.5.3,16964,68039,0.249
