project,build_avg_time,pred_avg_time
ambari,17.479354461034138,3.8610337575276694
amq,10.328209125078642,2.5917826982644887
bookkeeper,0.38436365127563477,0.6506032943725586
calcite,8.00306442805699,2.7932121753692627
cassandra,2.1289620876312254,1.4381847381591797
flink,36.08225131034851,5.60171914100647
groovy,3.4488233419565053,1.9444534044999342
hbase,9.633847415447235,5.666214168071747
hive,77.94610182444255,12.340254465738932
ignite,35.3189994096756,7.226284384727478
log4j2,1.8524520635604858,1.1726071119308472
mahout,2.4947383880615233,1.4901435375213623
mng,1.4260187149047852,0.8829357147216796
nifi,23.166077693303425,6.2541994253794355
nutch,0.5293725728988647,0.6294668118158976
storm,4.559775412082672,2.0730281472206116
tika,0.6722937280481512,0.7538361549377441
ww,3.803435070174081,1.6284377064023698
zookeeper,0.5102613766988119,0.6553741296132406
