project,build_avg_time,pred_avg_time
ambari,745.8043480333333,4.396385073833333
amq,274.13110014615387,2.4782202976923076
bookkeeper,13.623190715,0.3079047205
calcite,269.5261978285714,2.179897819142857
cassandra,68.65020531,0.7275134086
flink,1211.214731,7.879736423
groovy,142.9144447930769,1.2252657963846154
hbase,295.0049854,4.212315619
hive,1867.6537986666665,12.702219326666667
ignite,899.7648128999999,6.743316888500001
log4j2,58.856524118,0.5729607105
mahout,92.411417872,0.8003703594
mng,40.79262173,0.46282677640000003
nifi,960.6617415666667,7.932482083333333
nutch,16.452873225166666,0.21977969008333334
storm,130.805983895,1.22532957775
tika,27.165891319363634,0.2791866603636364
ww,115.334909455,0.8704912663571429
zookeeper,19.53603688,0.277170817
