project,build_avg_time,pred_avg_time
ambari,17.906357924143474,2915.6932682196298
amq,8.734536556097177,1293.8534429073334
bookkeeper,0.3306159973144531,842.1804685592651
calcite,7.078828743525913,3303.8769416468485
cassandra,2.041004514694214,1172.2374185562135
flink,30.86480140686035,642.8188903331757
groovy,3.7442521315354567,1002.3831814069015
hbase,8.277998924255371,4164.162874817848
hive,51.55770627657572,1979.5798367659252
ignite,24.861782789230347,4914.209635853767
log4j2,1.4988089799880981,769.001861834526
mahout,2.0928298473358153,765.3493746757507
mng,1.0695870876312257,353.4173635959625
nifi,16.657240231831867,3629.4703731536865
nutch,0.4074933131535848,360.3574949701627
storm,3.2317541241645813,279.3423208594322
tika,0.6223017085682262,521.4774939363652
ww,2.91995632648468,675.7243858405521
zookeeper,0.6555832227071127,500.56664339701337
