,Glance-LR-5,Glance-LR-10,Glance-LR-15,Glance-LR-20,Glance-LR-25,Glance-LR-30,Glance-LR-35,Glance-LR-40,Glance-LR-45,Glance-LR-50
ambari-2.1.0,0.0579733127874679,0.0705019419915768,0.0824830623769044,0.0916284694783871,0.1003400156917909,0.1055958377395991,0.107791475184608,0.1109920906343016,0.1110818441480087,0.1105748589205909
ambari-2.2.0,0.066388871136255,0.0801751279756008,0.0944784542736226,0.1036408300891062,0.1101552342301665,0.1171969120286175,0.1201258129029118,0.1253992723719437,0.1231418395322167,0.1231053490082732
ambari-2.4.0,0.0543844918050768,0.0737520709070993,0.093219340106086,0.1067374461486806,0.1153267855854476,0.119471807049988,0.1224081214838973,0.1238219047892168,0.1256083954577729,0.1275894735543955
ambari-2.5.0,0.0581149750631827,0.0747712977582767,0.0884990269944787,0.1030489678543794,0.1115928910968201,0.1183045112203446,0.1203045570589911,0.1212367329170934,0.1214042288523914,0.1204585943433849
ambari-2.6.0,0.0405703597217153,0.0501445375014474,0.0560509351412516,0.0608798970528332,0.0612419867949559,0.0684805354044337,0.073930086919765,0.0792911646906345,0.0786665520713261,0.0789382749128707
ambari-2.7.0,0.0106500725561128,0.0068395844138005,0.0089874802439439,0.0089303230780057,0.0090418813493494,0.0086401034890517,0.0073949786452642,0.0068516841200483,0.0064180239225794,0.0057789824320325
amq-5.1.0,0.1088950175395721,0.13410715731439,0.1546246353681918,0.1784671639005413,0.1982723728116689,0.2097637641488244,0.2190971331502072,0.2282877920292977,0.2301752033041135,0.2299609972629527
amq-5.2.0,0.102402455382885,0.1299236127576789,0.1492022693723775,0.170267653545735,0.1847009895508612,0.1963075284429107,0.2045856164936286,0.2132038955216811,0.2153072948388622,0.2153888070802423
amq-5.4.0,0.0766336250690214,0.0931413798472487,0.1073301179882672,0.1247065774139071,0.1368809473047971,0.1434680200158101,0.1515431224275208,0.1585956846680887,0.1590262236449303,0.1586706324429913
amq-5.5.0,0.0898258964820637,0.1121640198345942,0.1288873098671155,0.1459390856673,0.1602383555927598,0.1719881777005569,0.1835538185053345,0.1917519673106896,0.1957056346281758,0.196614743871034
amq-5.6.0,0.0609873369918604,0.07208448975053,0.0792221389055959,0.0876341233310437,0.0971733373601044,0.1049439772629327,0.1143460370254953,0.1175535692814837,0.1200668375542268,0.1205410697366339
amq-5.7.0,0.0535964950753,0.070494633007456,0.0807080040086968,0.0883925136331844,0.0955182534849529,0.1043798013704273,0.1132202421969158,0.119374472192651,0.11993099487364,0.1223177561643468
amq-5.8.0,0.0435802404694611,0.0556846861734023,0.0633576245829309,0.0734433512376248,0.0788013941247123,0.0884959329129751,0.0940855551651382,0.0958543938631538,0.0994958679260823,0.099840570788236
