,Glance-LR-5,Glance-LR-10,Glance-LR-15,Glance-LR-20,Glance-LR-25,Glance-LR-30,Glance-LR-35,Glance-LR-40,Glance-LR-45,Glance-LR-50
nutch-1.15,0.463,0.593,0.685,0.741,0.778,0.778,0.796,0.815,0.852,0.852
storm-0.9.3,0.116,0.209,0.256,0.302,0.372,0.419,0.442,0.442,0.442,0.442
storm-1.0.0,0.126,0.186,0.202,0.262,0.295,0.317,0.317,0.328,0.339,0.339
storm-1.0.3,0.353,0.588,0.588,0.706,0.706,0.706,0.765,0.765,0.765,0.765
storm-1.0.5,0.4,0.6,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0
tika-0.8,0.327,0.415,0.544,0.639,0.673,0.721,0.762,0.782,0.796,0.803
tika-0.9,0.315,0.429,0.601,0.649,0.726,0.792,0.821,0.833,0.839,0.839
tika-0.10,0.341,0.475,0.637,0.682,0.732,0.793,0.799,0.81,0.827,0.832
tika-1.1,0.369,0.5,0.662,0.719,0.775,0.819,0.838,0.856,0.881,0.881
tika-1.3,0.386,0.551,0.652,0.728,0.747,0.804,0.81,0.823,0.842,0.842
tika-1.5,0.383,0.578,0.669,0.734,0.805,0.857,0.87,0.903,0.916,0.922
tika-1.7,0.383,0.537,0.631,0.698,0.732,0.805,0.826,0.832,0.846,0.879
tika-1.10,0.341,0.471,0.606,0.7,0.729,0.782,0.788,0.812,0.824,0.841
tika-1.13,0.403,0.477,0.604,0.705,0.752,0.805,0.805,0.866,0.872,0.893
tika-1.15,0.435,0.556,0.677,0.758,0.823,0.863,0.863,0.895,0.911,0.919
tika-1.17,0.443,0.504,0.661,0.713,0.765,0.817,0.817,0.87,0.887,0.887
ww-2.0.5,0.314,0.431,0.532,0.59,0.649,0.707,0.718,0.734,0.766,0.771
ww-2.0.10,0.385,0.483,0.603,0.644,0.707,0.753,0.77,0.828,0.851,0.879
ww-2.1.1,0.38,0.511,0.625,0.674,0.755,0.815,0.842,0.87,0.908,0.929
ww-2.1.3,0.354,0.503,0.608,0.652,0.718,0.79,0.812,0.845,0.878,0.901
ww-2.1.7,0.399,0.542,0.655,0.696,0.762,0.833,0.851,0.875,0.905,0.923
ww-2.2.0,0.366,0.498,0.59,0.652,0.709,0.767,0.775,0.797,0.837,0.855
ww-2.2.2,0.384,0.525,0.63,0.694,0.744,0.781,0.804,0.817,0.849,0.872
ww-2.3.1,0.371,0.525,0.629,0.703,0.748,0.807,0.812,0.817,0.851,0.896
ww-2.3.4,0.379,0.53,0.636,0.717,0.768,0.823,0.828,0.838,0.864,0.909
ww-2.3.10,0.396,0.538,0.639,0.698,0.751,0.775,0.799,0.811,0.828,0.858
ww-2.3.15,0.392,0.559,0.664,0.713,0.755,0.804,0.832,0.853,0.867,0.902
ww-2.3.17,0.393,0.556,0.658,0.684,0.726,0.761,0.778,0.795,0.812,0.846
ww-2.3.20,0.472,0.648,0.75,0.769,0.815,0.861,0.88,0.889,0.907,0.935
ww-2.3.24,0.457,0.66,0.755,0.777,0.798,0.862,0.883,0.894,0.915,0.947
zookeeper-3.5.1,0.325,0.537,0.613,0.65,0.7,0.738,0.775,0.8,0.8,0.812
zookeeper-3.5.2,0.433,0.617,0.733,0.8,0.833,0.867,0.917,0.933,0.933,0.95
zookeeper-3.5.3,0.5,0.625,0.725,0.8,0.825,0.875,0.875,0.925,0.925,0.95
