,Glance-LR-5,Glance-LR-10,Glance-LR-15,Glance-LR-20,Glance-LR-25,Glance-LR-30,Glance-LR-35,Glance-LR-40,Glance-LR-45,Glance-LR-50
ambari-2.1.0,28,9,3,9,42,9,3,10,231,9
ambari-2.2.0,10,7,12,13,930,6,27,6,6,304
ambari-2.4.0,29,13,3,8,5,237,4,21,92,8
ambari-2.5.0,56,61,3,29,7,241,1058,102,1,599
ambari-2.6.0,48,56,132,167,302,687,154,180,162,708
ambari-2.7.0,165,117,164,276,294,275,546,222,427,2296
amq-5.1.0,12,5,16,36,68,50,12,1,56,59
amq-5.2.0,53,19,22,38,2,21,2,40,2,11
amq-5.4.0,3,56,114,2,109,78,24,2,203,49
amq-5.5.0,75,11,10,11,11,11,9,11,11,11
amq-5.6.0,2,27,126,54,35,337,3,815,7,67
amq-5.7.0,163,72,56,128,210,98,113,271,23,1
amq-5.8.0,21,31,29,7,10,22,8,227,1,24
amq-5.9.0,10,22,56,1,1,1,51,1,54,4
amq-5.10.0,43,9,1,39,65,1,17,1,54,230
amq-5.11.0,14,32,6,99,216,1,17,1,1,55
amq-5.12.0,1,4,1,2,47,44,8,2,101,11
amq-5.14.0,35,22,89,42,43,44,41,41,41,17
amq-5.15.0,1,89,1,140,66,4,143,2,54,28
bookkeeper-4.2.0,1066,214,3485,438,382,364,6585,702,9131,520
bookkeeper-4.4.0,405,29,31,58,100,98,47,80,49,1
calcite-1.8.0,1,18,1,28,2,47,140,32,4,2
calcite-1.11.0,1,15,5,4,2,5,8,23,2,3
calcite-1.13.0,14,4,11,16,1,9,15,19,15,129
calcite-1.15.0,2,10,17,41,10,3,16,107,16,11
calcite-1.16.0,12,6,6,6,3,2,2,6,39,6
calcite-1.17.0,1,11,97,2,13,9,107,488,2,8
calcite-1.18.0,10,23,19,1,5,2,51,32,29,27
cassandra-0.8.6,8,11,31,144,19,11,2,87,4,65
cassandra-1.0.9,119,5,8,45,24,85,320,49,82,40
cassandra-1.1.6,11,5,14,90,2,101,70,40,4,3
cassandra-1.1.11,2135,174,332,23,166,6,233,58,104,285
cassandra-1.2.11,294,420,393,58,64,221,834,228,1071,26
flink-1.6.0,184,53,35,886,673,36,92,319,316,621
groovy-1.5.5,33,79,108,88,116,525,2,346,498,1107
groovy-1.6.0,110,4,263,28,14,387,2743,184,779,864
groovy-1.7.3,5,80,84,293,108,5,357,298,459,929
groovy-1.7.6,841,16,95,1,17,180,108,4,18,107
groovy-1.8.1,128,227,273,424,26,56,56,271,465,26
groovy-1.8.7,11,72,4,474,141,239,46,432,58,875
groovy-2.1.0,185,1,559,302,1,1,505,16,766,1
groovy-2.1.6,59,144,201,296,182,81,469,60,603,326
groovy-2.4.4,143,4,90,5,99,4,128,4,70,4
groovy-2.4.6,40,4,78,10,9,52,105,11,70,26
groovy-2.4.8,32,56,5,272,5,5,144,251,57,5
groovy-2.5.0,316,14,938,2144,87,1818,145,4791,2624,584
groovy-2.5.5,1,19,18,10,7,6,1,172,1,3
hbase-0.94.5,108,42,320,90,3,312,596,35,502,43
hbase-0.98.0,95,66,26,322,68,120,200,788,9,10
hbase-0.98.5,126,162,5,1,16,7,85,166,47,1
hbase-0.98.11,77,9,5,43,111,2,41,85,7,294
hive-1.2.0,19,242,172,927,679,690,34,1054,32,3663
hive-2.0.0,190,625,210,1949,24,606,1312,3285,3,2754
hive-2.1.0,61,13,146,12,4,13,90,13,1,13
ignite-1.4.0,1,62,32,26,107,6,6,22,6,58
ignite-1.6.0,5,16,28,26,81,294,356,22,5,69
log4j2-2.1,42,16,8,27,2,2,69,5,28,2
log4j2-2.2,71,12,3,2,69,19,91,86,7,49
log4j2-2.3,3,16,3,3,76,115,3,33,1,4
log4j2-2.4,1,10,4,3,127,3,12,5,8,10
log4j2-2.5,1,1,12,47,39,87,32,33,2,1
log4j2-2.6,2,2,63,111,5,4,16,105,75,48
log4j2-2.7,2,1,2,1,2,2,2,2,2,1
log4j2-2.8,16,53,2,13,2,37,2,4,2,2
log4j2-2.9,2,23,41,39,10,77,26,8,2,11
log4j2-2.10,2,20,104,10,8,110,9,1,20,9
mahout-0.4,79,65,5,73,96,23,147,279,75,79
mahout-0.5,1,90,44,70,101,7,149,90,59,161
mahout-0.6,51,177,106,3,293,73,95,55,79,294
mahout-0.7,61,120,124,1,13,150,181,2,83,6
mahout-0.8,316,403,135,350,38,20,20,31,161,50
mng-3.1.0,3,13,6,29,32,5,3,16,84,387
mng-3.2.0,8,3,5,15,4,3,5,16,41,4
mng-3.3.0,1,1,1,39,47,52,1,31,1,39
mng-3.5.0,33,108,90,120,5,44,425,24,403,741
mng-3.6.0,46,59,104,155,5,83,94,15,82,52
nifi-1.2.0,2,21,5,123,11,2,75,25,2,33
nifi-1.5.0,65,68,16,332,11,185,320,2,38,13
nifi-1.8.0,15,26,35,151,11,146,3,219,538,13
nutch-1.3,12,8,38,106,232,66,77,11,11,10
nutch-1.4,20,69,99,8,39,99,195,90,218,10
nutch-1.5,145,40,75,102,7,113,118,76,119,7
nutch-1.6,1,1,1,69,11,23,1,76,119,11
nutch-1.7,51,7,91,6,161,6,118,124,33,104
nutch-1.8,31,7,79,6,94,6,116,6,33,7
nutch-1.9,10,7,20,303,37,84,74,102,49,13
nutch-1.10,14,23,23,22,23,23,23,22,22,22
nutch-1.12,85,3,58,183,6,1,39,37,42,5
nutch-1.13,21,40,2,4,14,9,39,4,42,1
nutch-1.14,28,1,15,4,112,1,15,4,15,2
nutch-1.15,36,69,45,68,6,1,33,142,34,1169
storm-0.9.3,1,1,1,22,15,1,1,1,1,109
storm-1.0.0,57,43,136,654,7,1,169,1282,316,213
storm-1.0.3,346,196,145,134,512,462,236,534,158,19
storm-1.0.5,19,82,174,190,135,228,73,369,397,594
tika-0.8,4,44,37,74,7,36,81,36,103,8
tika-0.9,12,31,14,34,15,3,4,12,4,7
tika-0.10,56,5,26,68,13,34,13,16,185,40
tika-1.1,19,3,27,16,62,60,1,16,33,44
tika-1.3,51,1,27,1,37,21,33,1,36,112
tika-1.5,8,106,81,118,2,35,210,22,2,53
tika-1.7,6,12,17,5,60,2,1,2,1,78
tika-1.10,63,22,2,3,13,1,168,148,285,9
tika-1.13,10,81,20,28,5,9,40,65,50,2
tika-1.15,30,36,173,118,58,295,92,132,156,62
tika-1.17,22,77,2,11,155,82,197,11,182,239
ww-2.0.5,2,111,1,15,6,33,1,35,165,36
