nifi-1.2.0-nifi-1.5.0,749,380,462/668/2752,203/483/3172
nifi-1.5.0-nifi-1.8.0,817,364,301/483/3172,200/427/3638
nutch-1.1-nutch-1.3,72,60,43/82/363,34/63/245
nutch-1.3-nutch-1.4,113,60,50/63/245,49/63/246
nutch-1.4-nutch-1.5,70,60,34/63/246,33/65/249

nutch-1.5-nutch-1.6,39,61,25/65/249,23/65/250

nutch-1.6-nutch-1.7,87,57,42/65/250,35/62/255

nutch-1.7-nutch-1.8,49,51,24/62/255,14/52/257

nutch-1.8-nutch-1.9,30,48,20/52/257,17/50/283

nutch-1.9-nutch-1.10,252,44,47/50/283,50/62/322

nutch-1.10-nutch-1.12,85,54,34/62/322,31/79/443

nutch-1.12-nutch-1.13,208,78,64/79/443,63/79/451

nutch-1.13-nutch-1.14,120,64,58/79/451,45/69/462

nutch-1.14-nutch-1.15,191,43,58/69/462,33/47/489

storm-0.9.0-storm-0.9.3,437,18,22/22/449,19/48/605

storm-0.9.3-storm-1.0.0,44,4,10/48/605,4/111/1258

storm-1.0.0-storm-1.0.3,128,28,59/111/1258,8/35/1336

storm-1.0.3-storm-1.0.5,61,6,32/35/1336,4/6/1339

tika-0.7-tika-0.8,72,55,38/62/160,38/79/201

tika-0.8-tika-0.9,75,77,39/79/201,47/97/223

tika-0.9-tika-0.10,96,75,70/97/223,55/109/289

tika-0.10-tika-1.1,125,94,65/109/289,52/96/295

tika-1.1-tika-1.3,89,91,46/96/295,47/102/331

tika-1.3-tika-1.5,52,96,36/102/331,33/102/342

tika-1.5-tika-1.7,107,91,64/102/342,60/121/390

tika-1.7-tika-1.10,134,74,89/121/390,64/107/527

tika-1.10-tika-1.13,208,94,69/107/527,59/99/560

tika-1.13-tika-1.15,150,61,78/99/560,41/68/690

tika-1.15-tika-1.17,92,53,42/68/690,30/57/706

ww-2.0.0-ww-2.0.5,487,72,82/91/574,80/113/625

ww-2.0.5-ww-2.0.10,129,102,62/113/625,60/159/656

ww-2.0.10-ww-2.1.1,242,112,119/159/656,86/124/663

