,Glance-MD-50-5,Glance-MD-50-10,Glance-MD-50-15,Glance-MD-50-20,Glance-MD-50-25,Glance-MD-50-30,Glance-MD-50-35,Glance-MD-50-40,Glance-MD-50-45,Glance-MD-50-50
tika-1.7,5,5,156,295,158,117,147,162,308,359
tika-1.10,42,13,188,142,235,729,865,124,420,264
tika-1.13,124,68,257,16,1,177,310,137,1193,107
tika-1.15,96,169,463,110,327,137,57,392,840,376
tika-1.17,285,249,314,1810,688,912,1023,470,153,531
ww-2.0.5,51,110,145,30,106,13,16,88,88,56
ww-2.0.10,58,8,28,13,42,39,12,112,1,107
ww-2.1.1,13,99,1,362,43,188,28,102,186,458
ww-2.1.3,17,1,27,14,127,2,2,141,3,80
ww-2.1.7,31,15,111,37,490,206,2,963,143,313
ww-2.2.0,5,1,111,53,77,159,2,258,2,389
ww-2.2.2,2,143,27,252,92,279,146,504,69,469
ww-2.3.1,36,365,705,552,118,15,112,7,348,300
ww-2.3.4,8,11,1208,238,393,159,168,650,44,4279
ww-2.3.10,160,89,984,53,1367,385,1477,105,3942,407
ww-2.3.15,700,259,1543,695,54,1264,561,445,42,144
ww-2.3.17,491,915,682,144,549,1208,1135,2247,2,518
ww-2.3.20,489,161,155,1045,63,556,9473,480,2774,824
ww-2.3.24,467,986,1847,3507,178,344,10559,4690,3296,1127
zookeeper-3.5.1,126,32,124,135,14,71,152,126,207,384
zookeeper-3.5.2,22,80,18,25,105,159,145,162,54,37
zookeeper-3.5.3,25,254,105,1,41,520,165,532,54,108
