,Glance-MD-50-5,Glance-MD-50-10,Glance-MD-50-15,Glance-MD-50-20,Glance-MD-50-25,Glance-MD-50-30,Glance-MD-50-35,Glance-MD-50-40,Glance-MD-50-45,Glance-MD-50-50
mng-3.6.0,0.344,0.531,0.688,0.719,0.75,0.781,0.812,0.844,0.844,0.875
nifi-1.2.0,0.44,0.586,0.676,0.775,0.818,0.852,0.901,0.918,0.929,0.94
nifi-1.5.0,0.444,0.597,0.697,0.764,0.814,0.866,0.902,0.924,0.936,0.945
nifi-1.8.0,0.48,0.616,0.718,0.774,0.817,0.864,0.898,0.907,0.91,0.929
nutch-1.3,0.291,0.466,0.515,0.583,0.602,0.641,0.68,0.738,0.767,0.806
nutch-1.4,0.263,0.475,0.525,0.586,0.616,0.646,0.667,0.727,0.758,0.808
nutch-1.5,0.273,0.475,0.525,0.586,0.606,0.646,0.687,0.717,0.758,0.818
nutch-1.6,0.256,0.5,0.567,0.611,0.644,0.689,0.733,0.767,0.811,0.822
nutch-1.7,0.227,0.477,0.557,0.591,0.636,0.682,0.727,0.75,0.795,0.795
nutch-1.8,0.23,0.473,0.541,0.581,0.608,0.635,0.716,0.73,0.77,0.784
nutch-1.9,0.246,0.523,0.569,0.646,0.723,0.754,0.785,0.8,0.846,0.846
nutch-1.10,0.435,0.6,0.635,0.682,0.718,0.8,0.835,0.859,0.871,0.894
nutch-1.12,0.404,0.576,0.636,0.667,0.707,0.788,0.828,0.838,0.889,0.909
nutch-1.13,0.379,0.547,0.653,0.695,0.747,0.8,0.853,0.874,0.905,0.905
nutch-1.14,0.473,0.676,0.743,0.784,0.797,0.824,0.851,0.878,0.905,0.932
nutch-1.15,0.5,0.667,0.759,0.815,0.852,0.889,0.926,0.944,0.981,0.981
storm-0.9.3,0.349,0.512,0.581,0.628,0.721,0.814,0.814,0.814,0.814,0.814
storm-1.0.0,0.372,0.541,0.617,0.71,0.776,0.842,0.896,0.923,0.934,0.94
storm-1.0.3,0.529,0.706,0.765,0.882,0.941,0.941,1.0,1.0,1.0,1.0
storm-1.0.5,0.4,0.6,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0
tika-0.8,0.327,0.422,0.565,0.66,0.714,0.748,0.789,0.823,0.837,0.85
tika-0.9,0.286,0.44,0.601,0.661,0.72,0.786,0.815,0.827,0.833,0.839
tika-0.10,0.33,0.458,0.587,0.637,0.687,0.737,0.754,0.782,0.799,0.804
tika-1.1,0.356,0.481,0.606,0.662,0.713,0.744,0.762,0.787,0.812,0.812
tika-1.3,0.405,0.563,0.639,0.709,0.728,0.772,0.778,0.823,0.842,0.842
tika-1.5,0.377,0.558,0.63,0.701,0.766,0.818,0.831,0.851,0.864,0.87
tika-1.7,0.383,0.53,0.611,0.671,0.705,0.772,0.799,0.805,0.832,0.866
tika-1.10,0.359,0.476,0.606,0.718,0.747,0.794,0.8,0.829,0.841,0.859
tika-1.13,0.383,0.45,0.564,0.664,0.725,0.779,0.779,0.839,0.846,0.866
tika-1.15,0.411,0.532,0.653,0.718,0.782,0.823,0.823,0.855,0.871,0.879
tika-1.17,0.417,0.478,0.635,0.687,0.757,0.809,0.809,0.861,0.878,0.878
ww-2.0.5,0.372,0.5,0.638,0.702,0.766,0.83,0.846,0.872,0.91,0.926
ww-2.0.10,0.402,0.534,0.678,0.724,0.782,0.839,0.862,0.914,0.937,0.96
ww-2.1.1,0.391,0.538,0.658,0.707,0.788,0.848,0.88,0.908,0.946,0.962
ww-2.1.3,0.354,0.514,0.641,0.691,0.757,0.829,0.862,0.895,0.934,0.95
ww-2.1.7,0.411,0.554,0.673,0.72,0.786,0.857,0.881,0.905,0.94,0.952
ww-2.2.0,0.401,0.529,0.634,0.7,0.762,0.815,0.828,0.855,0.894,0.912
ww-2.2.2,0.402,0.539,0.648,0.708,0.763,0.799,0.826,0.845,0.877,0.9
ww-2.3.1,0.401,0.55,0.658,0.728,0.777,0.837,0.842,0.847,0.881,0.926
ww-2.3.4,0.399,0.556,0.662,0.737,0.798,0.848,0.854,0.864,0.889,0.934
ww-2.3.10,0.42,0.562,0.657,0.734,0.787,0.811,0.834,0.852,0.87,0.899
ww-2.3.15,0.399,0.559,0.664,0.713,0.755,0.804,0.832,0.853,0.867,0.902
ww-2.3.17,0.402,0.573,0.684,0.718,0.769,0.821,0.838,0.855,0.872,0.906
ww-2.3.20,0.472,0.639,0.741,0.759,0.806,0.852,0.87,0.88,0.898,0.926
ww-2.3.24,0.457,0.649,0.745,0.766,0.787,0.851,0.872,0.883,0.904,0.936
zookeeper-3.5.1,0.375,0.588,0.675,0.738,0.775,0.812,0.875,0.9,0.9,0.912
zookeeper-3.5.2,0.4,0.583,0.667,0.75,0.783,0.817,0.867,0.9,0.9,0.917
zookeeper-3.5.3,0.45,0.575,0.675,0.75,0.775,0.825,0.85,0.9,0.9,0.925
