NGram,NGram-C,PMD,CheckStyle,Glance-LR
ambari,0.4004323706810654,0.5312894157167181,0.6060581302566389,0.5540369322728345,0.34147567758096226
amq,0.32171449729286494,0.49623262272572666,0.5703319181352597,0.5016794324280055,0.20190629745300623
bookkeeper,0.47884072892122775,0.5733373891924073,0.6197060132976563,0.5931420046151907,0.37053586774333425
calcite,0.3474031076556849,0.5182872339026124,0.6197573176653619,0.5998055933989318,0.28903324572626066
cassandra,0.41174326434270014,0.5692801737757589,0.587767193565353,0.5283454055836942,0.24258912286784923
flink,0.6578725460444883,0.6799990062364306,0.694764892566745,0.6759304371951482,0.6465484402117883
groovy,0.41842558083157,0.5215090271956531,0.6114662005436162,0.5165320920935871,0.3257312018541083
hbase,0.369639252716904,0.4899514708182993,0.5910322361747035,0.5644944102736397,0.28635279399352426
hive,0.5574045335099977,0.6024157822507723,0.6648423978064073,0.6332720178702179,0.49879427714239205
ignite,0.31841900786486044,0.471386875669849,0.5833471394796609,0.546797798704727,0.2525424019352547
log4j2,0.3794382511398564,0.5745468541487008,0.5989729314131755,0.5541069818288469,0.21654381971744535
mahout,0.36875282023661105,0.5342856793209171,0.6273367044801064,0.5767322276116703,0.2623326150563022
mng,0.36401986597573144,0.5100308477965965,0.6214002912793389,0.3200043466756414,0.14247173824053092
nifi,0.3361687636135414,0.5237842548721193,0.5896289132961952,0.5383374712243235,0.2900975018703986
nutch,0.3730670078680891,0.5540031882001963,0.5344160100244643,0.5978587053364754,0.20089965853207886
storm,0.4787411205893372,0.560963442814889,0.6036325042203508,0.5797583353943053,0.35107584373462347
tika,0.4160318447798725,0.5472761084743556,0.6094980701636785,0.5546504976607745,0.2190105754393542
ww,0.3793995739904953,0.5994380273796154,0.5916276750690389,0.5134487587202347,0.20848591064392805
zookeeper,0.4813131636504387,0.568535828282715,0.6217365911752265,0.5403597223886967,0.30526318665734264
