NGram,NGram-C,PMD,CheckStyle,Glance-LR
ambari,0.7155,0.5571666666666667,0.4508333333333333,0.5795,0.749
amq,0.7943076923076923,0.6039230769230769,0.4916153846153846,0.6082307692307692,0.8586923076923076
bookkeeper,0.673,0.552,0.5375,0.6135,0.855
calcite,0.8427142857142856,0.6581428571428571,0.5578571428571428,0.41485714285714287,0.9325714285714286
cassandra,0.6946,0.46740000000000004,0.4664,0.627,0.8528
flink,0.154,0.115,0.077,0.154,0.167
groovy,0.6354615384615385,0.5308461538461539,0.3816923076923077,0.5517692307692308,0.7155384615384616
hbase,0.75275,0.6055,0.40575,0.5095000000000001,0.83375
hive,0.47933333333333333,0.41133333333333333,0.3,0.34833333333333333,0.5136666666666667
ignite,0.8305,0.692,0.5,0.618,0.883
log4j2,0.7521,0.45840000000000003,0.4406,0.522,0.8878
mahout,0.6918000000000001,0.4522,0.3664,0.4586,0.7954
mng,0.688,0.5786,0.5058,0.86,0.912
nifi,0.76,0.593,0.499,0.615,0.8413333333333334
nutch,0.64475,0.4860833333333333,0.48725,0.38308333333333333,0.8535
storm,0.45075,0.3665,0.32375,0.5527500000000001,0.6365000000000001
tika,0.6733636363636364,0.4630909090909091,0.4389090909090909,0.457,0.8670909090909091
ww,0.7565,0.4102857142857143,0.4446428571428571,0.6189285714285715,0.8873571428571428
zookeeper,0.6819999999999999,0.525,0.49433333333333335,0.5846666666666667,0.904
